distance,rounds,p,decoder,alpha,shots,errors,ler,ler_std
5,5,0.0003,mwpm,,112000000,423,3.7767857142857144e-06,1.83633258595169e-07
5,5,0.0003,cm,0.2,112000000,220,1.9642857142857144e-06,1.3243198577367346e-07
5,5,0.0003,cm,0.4,112000000,217,1.9375e-06,1.315259427863456e-07
5,5,0.0003,cm,0.8,112000000,259,2.3125e-06,1.4369159224408582e-07
5,5,0.0003,cm,1.0,112000000,301,2.6875e-06,1.5490471660438064e-07
5,5,0.0007,mwpm,,11000000,502,4.563636363636364e-05,2.0368041133706075e-06
5,5,0.0007,cm,0.2,11000000,292,2.6545454545454547e-05,1.5534346076969845e-06
5,5,0.0007,cm,0.4,11000000,277,2.5181818181818183e-05,1.5130097655711773e-06
5,5,0.0007,cm,0.8,11000000,286,2.6e-05,1.5373922430827172e-06
5,5,0.0007,cm,1.0,11000000,304,2.7636363636363636e-05,1.5850322585695964e-06
5,5,0.001,mwpm,,5000000,623,0.0001246,4.991682578850542e-06
5,5,0.001,cm,0.2,5000000,339,6.78e-05,3.682265692749506e-06
5,5,0.001,cm,0.4,5000000,328,6.56e-05,3.6220352466534613e-06
5,5,0.001,cm,0.8,5000000,351,7.02e-05,3.7468672770729417e-06
5,5,0.001,cm,1.0,5000000,374,7.48e-05,3.867671262142117e-06
7,7,0.0003,mwpm,,4799000000,654,1.362783913315274e-07,5.328906431034854e-09
7,7,0.0003,cm,0.2,4799000000,204,4.25088560116691e-08,2.9762151601399757e-09
7,7,0.0003,cm,0.4,4799000000,210,4.375911648260054e-08,3.0196658531203404e-09
7,7,0.0003,cm,0.8,4799000000,261,5.438633048551782e-08,3.3664292523618415e-09
7,7,0.0003,cm,1.0,4799000000,300,6.25130235465722e-08,3.6091909844363618e-09
7,7,0.0007,mwpm,,195000000,849,4.3538461538461535e-06,1.494232878885851e-07
7,7,0.0007,cm,0.2,195000000,281,1.441025641025641e-06,8.596432069866717e-08
7,7,0.0007,cm,0.4,195000000,264,1.3538461538461538e-06,8.332341441317975e-08
7,7,0.0007,cm,0.8,195000000,279,1.4307692307692308e-06,8.565785199593278e-08
7,7,0.0007,cm,1.0,195000000,301,1.5435897435897436e-06,8.897096503975248e-08
7,7,0.001,mwpm,,45000000,821,1.8244444444444443e-05,6.367296929482951e-07
7,7,0.001,cm,0.2,45000000,291,6.466666666666667e-06,3.7908148783573313e-07
7,7,0.001,cm,0.4,45000000,270,6e-06,3.651472762233526e-07
7,7,0.001,cm,0.8,45000000,290,6.4444444444444445e-06,3.7842958874157366e-07
7,7,0.001,cm,1.0,45000000,307,6.8222222222222225e-06,3.89363460007518e-07
