distance,rounds,p,decoder,alpha,shots,errors,ler,ler_std
5,5,0.0001,mwpm,,6050000000,786,1.2991735537190083e-07,4.633998300262952e-09
5,5,0.0001,cm,0.1,6050000000,462,7.636363636363636e-08,3.5527577585979487e-09
5,5,0.0001,cm,0.2,6050000000,483,7.983471074380165e-08,3.632604974968885e-09
5,5,0.0001,cm,0.3,6050000000,532,8.793388429752065e-08,3.812417219047693e-09
5,5,0.0001,cm,0.4,6050000000,571,9.43801652892562e-08,3.949686803811798e-09
5,5,0.0001,cm,0.5,6050000000,675,1.115702479338843e-07,4.294340605651749e-09
5,5,0.0001,cm,0.9,6050000000,874,1.4446280991735538e-07,4.8865270847564295e-09
5,5,0.0001,cm,1.0,6050000000,1000,1.652892561983471e-07,5.226904791443153e-09
5,5,0.0002,mwpm,,1070000000,1139,1.0644859813084113e-06,3.154117392398086e-08
5,5,0.0002,cm,0.1,1070000000,612,5.719626168224299e-07,2.3120211849456172e-08
5,5,0.0002,cm,0.2,1070000000,591,5.523364485981308e-07,2.272007929766376e-08
5,5,0.0002,cm,0.3,1070000000,630,5.88785046728972e-07,2.3457750847502323e-08
5,5,0.0002,cm,0.4,1070000000,641,5.990654205607477e-07,2.3661654410075403e-08
5,5,0.0002,cm,0.5,1070000000,697,6.514018691588785e-07,2.4673597164612486e-08
5,5,0.0002,cm,0.9,1070000000,891,8.327102803738318e-07,2.78968324160299e-08
5,5,0.0002,cm,1.0,1070000000,1007,9.411214953271028e-07,2.9657241469918917e-08
5,5,0.0004,mwpm,,160000000,1458,9.1125e-06,2.3864745130557847e-07
5,5,0.0004,cm,0.1,160000000,857,5.35625e-06,1.8296552459729158e-07
5,5,0.0004,cm,0.2,160000000,808,5.05e-06,1.7765793145642275e-07
5,5,0.0004,cm,0.3,160000000,809,5.05625e-06,1.7776783374558967e-07
5,5,0.0004,cm,0.4,160000000,829,5.18125e-06,1.7995178442169652e-07
5,5,0.0004,cm,0.5,160000000,844,5.275e-06,1.815725091797868e-07
5,5,0.0004,cm,0.9,160000000,940,5.875e-06,1.9162080857084323e-07
5,5,0.0004,cm,1.0,160000000,1010,6.3125e-06,1.9862748035493086e-07
5,5,0.0007,mwpm,,40000000,1829,4.5725e-05,1.0691457948331346e-06
5,5,0.0007,cm,0.1,40000000,1084,2.71e-05,8.23092728524557e-07
5,5,0.0007,cm,0.2,40000000,1036,2.59e-05,8.04663426377762e-07
5,5,0.0007,cm,0.3,40000000,994,2.485e-05,7.881843451487094e-07
5,5,0.0007,cm,0.4,40000000,989,2.4725e-05,7.861995401037672e-07
5,5,0.0007,cm,0.5,40000000,1000,2.5e-05,7.905595328626429e-07
5,5,0.0007,cm,0.9,40000000,1100,2.75e-05,8.291447966127508e-07
5,5,0.0007,cm,1.0,40000000,1145,2.8625e-05,8.459341080925719e-07
5,5,0.001,mwpm,,20000000,2671,0.00013355,2.583913353786268e-06
5,5,0.001,cm,0.1,20000000,1725,8.625e-05,2.076566408009867e-06
5,5,0.001,cm,0.2,20000000,1574,7.87e-05,1.9836053830084247e-06
5,5,0.001,cm,0.3,20000000,1512,7.56e-05,1.9441487165337945e-06
5,5,0.001,cm,0.4,20000000,1472,7.36e-05,1.9182620133860756e-06
5,5,0.001,cm,0.5,20000000,1477,7.385e-05,1.92151692911486e-06
5,5,0.001,cm,0.9,20000000,1524,7.62e-05,1.9518477599444072e-06
5,5,0.001,cm,1.0,20000000,1597,7.985e-05,1.9980443435707327e-06
5,5,0.005,mwpm,,10000000,141367,0.0141367,3.733209572621125e-05
5,5,0.005,cm,0.1,10000000,116019,0.0116019,3.3863396044091616e-05
5,5,0.005,cm,0.2,10000000,107474,0.0107474,3.260658429403485e-05
5,5,0.005,cm,0.3,10000000,103525,0.0103525,3.2008320392907215e-05
5,5,0.005,cm,0.4,10000000,101147,0.0101147,3.1642365341279405e-05
5,5,0.005,cm,0.5,10000000,99606,0.0099606,3.140284453300369e-05
5,5,0.005,cm,0.9,10000000,98742,0.0098742,3.126771525769032e-05
5,5,0.005,cm,1.0,10000000,99300,0.00993,3.135505557322455e-05
5,5,0.01,mwpm,,10000000,837394,0.0837394,8.759401400075236e-05
5,5,0.01,cm,0.1,10000000,760927,0.0760927,8.384664632930168e-05
5,5,0.01,cm,0.2,10000000,729403,0.0729403,8.223138855443826e-05
5,5,0.01,cm,0.3,10000000,711128,0.0711128,8.127470066149736e-05
5,5,0.01,cm,0.4,10000000,700956,0.0700956,8.073549830194893e-05
5,5,0.01,cm,0.5,10000000,694554,0.0694554,8.039362375887779e-05
5,5,0.01,cm,0.9,10000000,692545,0.0692545,8.02859353995144e-05
5,5,0.01,cm,1.0,10000000,695312,0.0695312,8.043420430796838e-05
7,7,0.0004,mwpm,,5390000000,2462,4.567717996289425e-07,9.205664858635211e-09
7,7,0.0004,cm,0.1,5390000000,883,1.6382189239332097e-07,5.513045172949445e-09
7,7,0.0004,cm,0.2,5390000000,770,1.4285714285714285e-07,5.148213704816461e-09
7,7,0.0004,cm,0.3,5390000000,761,1.411873840445269e-07,5.11803831184669e-09
7,7,0.0004,cm,0.4,5390000000,776,1.4397031539888684e-07,5.168232754933898e-09
7,7,0.0004,cm,0.5,5390000000,793,1.4712430426716142e-07,5.2245368477047046e-09
7,7,0.0004,cm,0.9,5390000000,953,1.7680890538033394e-07,5.727401735020218e-09
7,7,0.0004,cm,1.0,5390000000,1001,1.8571428571428572e-07,5.869866623607439e-09
7,7,0.0007,mwpm,,640000000,2655,4.1484375e-06,8.051028942845509e-08
7,7,0.0007,cm,0.1,640000000,1057,1.6515625e-06,5.079923369779602e-08
7,7,0.0007,cm,0.2,640000000,906,1.415625e-06,4.703095715865408e-08
7,7,0.0007,cm,0.3,640000000,863,1.3484375e-06,4.590131536984242e-08
7,7,0.0007,cm,0.4,640000000,855,1.3359375e-06,4.5688067973059787e-08
7,7,0.0007,cm,0.5,640000000,878,1.371875e-06,4.6298506960925994e-08
7,7,0.0007,cm,0.9,640000000,982,1.534375e-06,4.8963836235489905e-08
7,7,0.0007,cm,1.0,640000000,1010,1.578125e-06,4.965698763645776e-08
7,7,0.001,mwpm,,160000000,2820,1.7625e-05,3.3189502632021134e-07
7,7,0.001,cm,0.1,160000000,1180,7.375e-06,2.1469375877885632e-07
7,7,0.001,cm,0.2,160000000,1027,6.41875e-06,2.0029211167143538e-07
7,7,0.001,cm,0.3,160000000,975,6.09375e-06,1.9515559283253543e-07
7,7,0.001,cm,0.4,160000000,939,5.86875e-06,1.9151885608494008e-07
7,7,0.001,cm,0.5,160000000,942,5.8875e-06,1.9182455097926971e-07
7,7,0.001,cm,0.9,160000000,997,6.23125e-06,1.9734505269203352e-07
7,7,0.001,cm,1.0,160000000,1033,6.45625e-06,2.0087633504279346e-07
7,7,0.005,mwpm,,10000000,100144,0.0100144,3.1486682570000924e-05
7,7,0.005,cm,0.1,10000000,70630,0.007063,2.6482284703174686e-05
7,7,0.005,cm,0.2,10000000,62272,0.0062272,2.487653910848533e-05
7,7,0.005,cm,0.3,10000000,58350,0.005835,2.4085167167781917e-05
7,7,0.005,cm,0.4,10000000,56257,0.0056257,2.3651747291711877e-05
7,7,0.005,cm,0.5,10000000,54930,0.005493,2.3372691225017283e-05
7,7,0.005,cm,0.9,10000000,54080,0.005408,2.3192139909891883e-05
7,7,0.005,cm,1.0,10000000,54396,0.0054396,2.3259429812099864e-05
7,7,0.01,mwpm,,10000000,1034936,0.1034936,9.632376381715989e-05
7,7,0.01,cm,0.1,10000000,905433,0.0905433,9.074426198119085e-05
7,7,0.01,cm,0.2,10000000,851626,0.0851626,8.826660272223012e-05
7,7,0.01,cm,0.3,10000000,821494,0.0821494,8.683367784427882e-05
7,7,0.01,cm,0.4,10000000,804960,0.080496,8.603278095237883e-05
7,7,0.01,cm,0.5,10000000,794489,0.0794489,8.552003992561626e-05
7,7,0.01,cm,0.9,10000000,790331,0.0790331,8.531522086028378e-05
7,7,0.01,cm,1.0,10000000,793993,0.0793993,8.54956438419584e-05
