distance,rounds,p,decoder,alpha,shots,errors,ler,ler_std
5,2,0.005,mwpm,,53000000,1145,2.160377358490566e-05,6.384430776753379e-07
5,2,0.005,cm,0.1,53000000,1066,2.011320754716981e-05,6.160250394024516e-07
5,2,0.005,cm,0.3,53000000,997,1.881132075471698e-05,5.957549022582084e-07
5,2,0.005,cm,0.5,53000000,989,1.8660377358490566e-05,5.933599427629164e-07
5,2,0.005,cm,0.7,53000000,990,1.8679245283018867e-05,5.936598411201187e-07
5,2,0.005,cm,0.9,53000000,997,1.881132075471698e-05,5.957549022582084e-07
5,2,0.005,cm,1.0,53000000,1012,1.909433962264151e-05,6.002196929369748e-07
5,2,0.01,mwpm,,7000000,1076,0.00015371428571428573,4.685702533584068e-06
5,2,0.01,cm,0.1,7000000,1036,0.000148,4.597795993734389e-06
5,2,0.01,cm,0.3,7000000,956,0.00013657142857142858,4.416734036048526e-06
5,2,0.01,cm,0.5,7000000,987,0.000141,4.487763028503176e-06
5,2,0.01,cm,0.7,7000000,992,0.0001417142857142857,4.499114242595983e-06
5,2,0.01,cm,0.9,7000000,993,0.00014185714285714287,4.501381048525366e-06
5,2,0.01,cm,1.0,7000000,1021,0.00014585714285714286,4.564394319872969e-06
5,2,0.05,mwpm,,1000000,16630,0.01663,0.00012788058140312
5,2,0.05,cm,0.1,1000000,16630,0.01663,0.00012788058140312
5,2,0.05,cm,0.3,1000000,15467,0.015467,0.00012340085863153465
5,2,0.05,cm,0.5,1000000,14927,0.014927,0.00012126081259417652
5,2,0.05,cm,0.7,1000000,14943,0.014943,0.00012132479858215302
5,2,0.05,cm,0.9,1000000,15162,0.015162,0.00012219702842540813
5,2,0.05,cm,1.0,1000000,15334,0.015334,0.0001228774529521181
5,2,0.1,mwpm,,1000000,95483,0.095483,0.00029388092267277233
5,2,0.1,cm,0.1,1000000,95483,0.095483,0.00029388092267277233
5,2,0.1,cm,0.3,1000000,91343,0.091343,0.0002880962622996001
5,2,0.1,cm,0.5,1000000,88009,0.088009,0.0002833079877430215
5,2,0.1,cm,0.7,1000000,87849,0.087849,0.0002830751723464988
5,2,0.1,cm,0.9,1000000,88376,0.088376,0.00028384094599616876
5,2,0.1,cm,1.0,1000000,90286,0.090286,0.0002865910644175774
7,2,0.005,mwpm,,1030000000,1261,1.2242718446601942e-06,3.4476252496924516e-08
7,2,0.005,cm,0.1,1030000000,1084,1.0524271844660193e-06,3.1965182467151535e-08
7,2,0.005,cm,0.3,1030000000,999,9.699029126213592e-07,3.068635527253651e-08
7,2,0.005,cm,0.5,1030000000,982,9.533980582524271e-07,3.042414009099158e-08
7,2,0.005,cm,0.7,1030000000,985,9.563106796116505e-07,3.047057732638867e-08
7,2,0.005,cm,0.9,1030000000,994,9.650485436893204e-07,3.060946633781855e-08
7,2,0.005,cm,1.0,1030000000,1000,9.70873786407767e-07,3.070170995225014e-08
7,2,0.01,mwpm,,77000000,1348,1.7506493506493505e-05,4.7681556004499364e-07
7,2,0.01,cm,0.1,77000000,1158,1.5038961038961038e-05,4.4193692428547754e-07
7,2,0.01,cm,0.3,77000000,1007,1.3077922077922078e-05,4.121176078181044e-07
7,2,0.01,cm,0.5,77000000,1011,1.312987012987013e-05,4.129352915626474e-07
7,2,0.01,cm,0.7,77000000,1001,1.3e-05,4.108880310084172e-07
7,2,0.01,cm,0.9,77000000,1013,1.3155844155844156e-05,4.1334352681970163e-07
7,2,0.01,cm,1.0,77000000,1009,1.3103896103896103e-05,4.1252665229604795e-07
7,2,0.05,mwpm,,1000000,7964,0.007964,8.888517707694574e-05
7,2,0.05,cm,0.1,1000000,7943,0.007943,8.876885011646822e-05
7,2,0.05,cm,0.3,1000000,6777,0.006777,8.204311227031797e-05
7,2,0.05,cm,0.5,1000000,6440,0.00644,7.999078946978833e-05
7,2,0.05,cm,0.7,1000000,6453,0.006453,8.007096097212772e-05
7,2,0.05,cm,0.9,1000000,6532,0.006532,8.055639624511514e-05
7,2,0.05,cm,1.0,1000000,6619,0.006619,8.108753812393123e-05
7,2,0.1,mwpm,,1000000,78746,0.078746,0.00026934191557201044
7,2,0.1,cm,0.1,1000000,78746,0.078746,0.00026934191557201044
7,2,0.1,cm,0.3,1000000,72137,0.072137,0.0002587146173508563
7,2,0.1,cm,0.5,1000000,68258,0.068258,0.0002521881151759535
7,2,0.1,cm,0.7,1000000,68037,0.068037,0.00025180938551015134
7,2,0.1,cm,0.9,1000000,68704,0.068704,0.00025295011441784325
7,2,0.1,cm,1.0,1000000,70021,0.070021,0.0002551824044854974
