distance,rounds,p,decoder,alpha,shots,errors,ler,ler_std
5,5,0.0001,mwpm,,2980000000,410,1.3758389261744967e-07,6.794783670599259e-09
5,5,0.0001,cm,0.05,2980000000,251,8.422818791946309e-08,5.316435855886617e-09
5,5,0.0001,cm,0.1,2980000000,236,7.919463087248323e-08,5.155131170279095e-09
5,5,0.0001,cm,0.15,2980000000,238,7.986577181208054e-08,5.176928860566088e-09
5,5,0.0001,cm,0.2,2980000000,248,8.322147651006711e-08,5.284568823066124e-09
5,5,0.0001,cm,0.3,2980000000,268,8.993288590604028e-08,5.493525103225666e-09
5,5,0.0001,cm,0.4,2980000000,281,9.429530201342282e-08,5.625185846946826e-09
5,5,0.0001,cm,0.5,2980000000,331,1.110738255033557e-07,6.105169257803576e-09
5,5,0.0001,cm,0.6,2980000000,355,1.1912751677852349e-07,6.3226317312582345e-09
5,5,0.0001,cm,0.7,2980000000,377,1.2651006711409395e-07,6.515599533811064e-09
5,5,0.0001,cm,0.8,2980000000,398,1.3355704697986578e-07,6.694609399675369e-09
5,5,0.0001,cm,0.9,2980000000,438,1.4697986577181208e-07,7.022969126988571e-09
5,5,0.0001,cm,1.0,2980000000,502,1.6845637583892617e-07,7.51857537424343e-09
5,5,0.0002,mwpm,,520000000,549,1.0557692307692307e-06,4.505910895958608e-08
5,5,0.0002,cm,0.05,520000000,311,5.980769230769231e-07,3.39138207979748e-08
5,5,0.0002,cm,0.1,520000000,291,5.596153846153846e-07,3.280522564628778e-08
5,5,0.0002,cm,0.15,520000000,289,5.557692307692308e-07,3.269229860761708e-08
5,5,0.0002,cm,0.2,520000000,288,5.538461538461539e-07,3.2635688555646223e-08
5,5,0.0002,cm,0.3,520000000,306,5.884615384615385e-07,3.3640097187689925e-08
5,5,0.0002,cm,0.4,520000000,310,5.961538461538461e-07,3.3859253102831597e-08
5,5,0.0002,cm,0.5,520000000,336,6.461538461538462e-07,3.525057088023958e-08
5,5,0.0002,cm,0.6,520000000,361,6.942307692307692e-07,3.653844885539721e-08
5,5,0.0002,cm,0.7,520000000,392,7.538461538461538e-07,3.8074966174087966e-08
5,5,0.0002,cm,0.8,520000000,408,7.846153846153847e-07,3.88442345240301e-08
5,5,0.0002,cm,0.9,520000000,439,8.442307692307693e-07,4.029291922202999e-08
5,5,0.0002,cm,1.0,520000000,500,9.615384615384615e-07,4.3001286585900956e-08
5,5,0.0004,mwpm,,90000000,798,8.866666666666666e-06,3.1387520607345573e-07
5,5,0.0004,cm,0.05,90000000,500,5.555555555555556e-06,2.484513073545806e-07
5,5,0.0004,cm,0.1,90000000,465,5.166666666666667e-06,2.3959781051267797e-07
5,5,0.0004,cm,0.15,90000000,451,5.011111111111111e-06,2.3596341524050204e-07
5,5,0.0004,cm,0.2,90000000,437,4.855555555555556e-06,2.322721578746173e-07
5,5,0.0004,cm,0.3,90000000,437,4.855555555555556e-06,2.322721578746173e-07
5,5,0.0004,cm,0.4,90000000,447,4.966666666666667e-06,2.349146889804157e-07
5,5,0.0004,cm,0.5,90000000,460,5.1111111111111115e-06,2.383061753210754e-07
5,5,0.0004,cm,0.6,90000000,468,5.2e-06,2.403694600678991e-07
5,5,0.0004,cm,0.7,90000000,477,5.3e-06,2.426696865654583e-07
5,5,0.0004,cm,0.8,90000000,489,5.4333333333333335e-06,2.45703159031431e-07
5,5,0.0004,cm,0.9,90000000,510,5.666666666666667e-06,2.509235066167367e-07
5,5,0.0004,cm,1.0,90000000,544,6.044444444444444e-06,2.5915263432827896e-07
5,5,0.0007,mwpm,,20000000,920,4.6e-05,1.516540207182124e-06
5,5,0.0007,cm,0.05,20000000,602,3.01e-05,1.2267659513941525e-06
5,5,0.0007,cm,0.1,20000000,564,2.82e-05,1.1874174657634105e-06
5,5,0.0007,cm,0.15,20000000,548,2.74e-05,1.1704539555232404e-06
5,5,0.0007,cm,0.2,20000000,533,2.665e-05,1.1543242563833614e-06
5,5,0.0007,cm,0.3,20000000,510,2.55e-05,1.1291445821948579e-06
5,5,0.0007,cm,0.4,20000000,509,2.545e-05,1.1280370627222318e-06
5,5,0.0007,cm,0.5,20000000,509,2.545e-05,1.1280370627222318e-06
5,5,0.0007,cm,0.6,20000000,525,2.625e-05,1.145628887063782e-06
5,5,0.0007,cm,0.7,20000000,537,2.685e-05,1.1586474674701532e-06
5,5,0.0007,cm,0.8,20000000,554,2.77e-05,1.1768439299669263e-06
5,5,0.0007,cm,0.9,20000000,563,2.815e-05,1.1863643533396475e-06
5,5,0.0007,cm,1.0,20000000,582,2.91e-05,1.2062162573518897e-06
5,5,0.001,mwpm,,10000000,1308,0.0001308,3.6163917287816046e-06
5,5,0.001,cm,0.05,10000000,945,9.45e-05,3.0739399758290663e-06
5,5,0.001,cm,0.1,10000000,875,8.75e-05,2.9579104744734924e-06
5,5,0.001,cm,0.15,10000000,828,8.28e-05,2.8773797830665313e-06
5,5,0.001,cm,0.2,10000000,802,8.02e-05,2.8318468878101443e-06
5,5,0.001,cm,0.3,10000000,771,7.71e-05,2.776581631971227e-06
5,5,0.001,cm,0.4,10000000,748,7.48e-05,2.7348565768610245e-06
5,5,0.001,cm,0.5,10000000,750,7.5e-05,2.738510087620639e-06
5,5,0.001,cm,0.6,10000000,758,7.58e-05,2.753075632088592e-06
5,5,0.001,cm,0.7,10000000,756,7.56e-05,2.749441482192338e-06
5,5,0.001,cm,0.8,10000000,763,7.63e-05,2.7621400817120047e-06
5,5,0.001,cm,0.9,10000000,775,7.75e-05,2.7837743038903138e-06
5,5,0.001,cm,1.0,10000000,796,7.96e-05,2.8212349040801265e-06
5,5,0.002,mwpm,,10000000,10038,0.0010038,1.0013952194613273e-05
