distance,rounds,p,decoder,alpha,shots,errors,ler,ler_std
7,7,0.0002,mwpm,,31330000000,967,3.0864985636769866e-08,9.925510096084902e-10
7,7,0.0002,cm,0.05,31330000000,349,1.113948292371529e-08,5.962828467353351e-10
7,7,0.0002,cm,0.1,31330000000,316,1.008617938078519e-08,5.673919165331392e-10
7,7,0.0002,cm,0.15,31330000000,304,9.70315991062879e-09,5.565143852401056e-10
7,7,0.0002,cm,0.2,31330000000,305,9.73507819980849e-09,5.574289534492519e-10
7,7,0.0002,cm,0.3,31330000000,315,1.005426109160549e-08,5.664934331336142e-10
7,7,0.0002,cm,0.4,31330000000,336,1.072454516437919e-08,5.850719017405452e-10
7,7,0.0002,cm,1.0,31330000000,500,1.5959144589849985e-08,7.137146376179137e-10
7,7,0.0004,mwpm,,2650000000,1229,4.637735849056604e-07,1.3229089870429305e-08
7,7,0.0004,cm,0.05,2650000000,505,1.9056603773584906e-07,8.480076570952676e-09
7,7,0.0004,cm,0.1,2650000000,443,1.671698113207547e-07,7.94247676248693e-09
7,7,0.0004,cm,0.15,2650000000,406,1.5320754716981131e-07,7.603562315504362e-09
7,7,0.0004,cm,0.2,2650000000,385,1.4528301886792452e-07,7.404307715101582e-09
7,7,0.0004,cm,0.3,2650000000,381,1.4377358490566039e-07,7.3657433557618395e-09
7,7,0.0004,cm,0.4,2650000000,387,1.460377358490566e-07,7.423514768473863e-09
7,7,0.0004,cm,1.0,2650000000,501,1.890566037735849e-07,8.446425347082846e-09
