p,decoder,shots,ler,ler_std
0.0007,mwpm,7600000,4.526315789473684e-05,2.440370688550427e-06
0.0007,cm_logodds,7600000,2.6315789473684212e-05,1.8607828344440564e-06
0.0007,cm_fowler,7600000,2.526315789473684e-05,1.8231883462043986e-06
0.001,mwpm,2600000,0.0001426923076923077,7.407686927406847e-06
0.001,cm_logodds,2600000,7.923076923076924e-05,5.520050575157676e-06
0.001,cm_fowler,2600000,7.384615384615384e-05,5.329190319209129e-06
0.002,mwpm,300000,0.0011166666666666666,6.097594395120703e-05
0.002,cm_logodds,300000,0.0007,4.828767958806884e-05
0.002,cm_fowler,300000,0.00065,4.6532336426761694e-05
0.005,mwpm,100000,0.0139,0.00037022682236704564
0.005,cm_logodds,100000,0.00973,0.0003104082328160772
0.005,cm_fowler,100000,0.00973,0.0003104082328160772
0.01,mwpm,100000,0.08387,0.000876560454846099
0.01,cm_logodds,100000,0.06949,0.000804121507609391
0.01,cm_fowler,100000,0.06938,0.0008035322992885849
