distance,p,decompose,shots,ler_stim_corr,err_stim_corr,ler_two_pass,err_two_pass
3,0.01,tesseract,100000,0.05549,0.0007239534508516413,0.05547,0.0007238306369586741
3,0.01,stim,100000,0.05794,0.0007388027910071808,0.05794,0.0007388027910071808
3,0.008,tesseract,100000,0.03767,0.0006020877934321539,0.03766,0.0006020109998995035
3,0.008,stim,100000,0.03922,0.0006138549633260286,0.03922,0.0006138549633260286
3,0.006,tesseract,100000,0.02151,0.00045877358141026384,0.02145,0.00045814732892378627
3,0.006,stim,100000,0.02297,0.00047373388204771677,0.02297,0.00047373388204771677
3,0.004,tesseract,200000,0.01013,0.0002239127408165958,0.010105,0.0002236390951399151
3,0.004,stim,200000,0.01114,0.0002346902256166626,0.01114,0.0002346902256166626
3,0.002,tesseract,400000,0.002595,8.044044341933975e-05,0.0025925,8.040178704092964e-05
3,0.002,stim,400000,0.00344,9.25765413050196e-05,0.00344,9.25765413050196e-05
3,0.001,tesseract,1400000,0.0007178571428571428,2.263596733361046e-05,0.0007178571428571428,2.263596733361046e-05
3,0.001,stim,1400000,0.0010964285714285713,2.7969708306057598e-05,0.0010964285714285713,2.7969708306057598e-05
3,0.0008,tesseract,2400000,0.00042125,1.3245636835663721e-05,0.00042083333333333333,1.3239087214238137e-05
3,0.0008,stim,2400000,0.000775,1.796291753168176e-05,0.000775,1.796291753168176e-05
3,0.0006,tesseract,4100000,0.0002473170731707317,7.76571431916224e-06,0.00024682926829268294,7.758053936346897e-06
3,0.0006,stim,4100000,0.0005121951219512195,1.1174151117518447e-05,0.0005121951219512195,1.1174151117518447e-05
3,0.0004,tesseract,8800000,0.00011477272727272728,3.6112128800729448e-06,0.00011556818181818182,3.6237039346617854e-06
3,0.0004,stim,8800000,0.0002796590909090909,5.636537477819109e-06,0.0002796590909090909,5.636537477819109e-06
3,0.0002,tesseract,35200000,2.8551136363636364e-05,9.006046137723116e-07,2.846590909090909e-05,8.992594614795415e-07
3,0.0002,stim,35200000,0.00011224431818181818,1.7856094531481376e-06,0.00011224431818181818,1.7856094531481376e-06
3,0.0001,tesseract,141800000,7.059238363892807e-06,2.231203975089038e-07,7.052186177715092e-06,2.2300892169698997e-07
3,0.0001,stim,141800000,4.7877291960507754e-05,5.810537077772904e-07,4.7877291960507754e-05,5.810537077772904e-07
5,0.01,tesseract,100000,0.06896,0.0008012772204424633,0.06895,0.0008012234238962314
5,0.01,stim,100000,0.07251,0.0008200749959607353,0.0725,0.0008200228655348581
5,0.008,tesseract,100000,0.0391,0.0006129534240054459,0.0391,0.0006129534240054459
5,0.008,stim,100000,0.0419,0.0006335960069318618,0.04189,0.0006335237004248538
5,0.006,tesseract,100000,0.01671,0.00040534893486969965,0.01671,0.00040534893486969965
5,0.006,stim,100000,0.01862,0.0004274727546873602,0.01861,0.00042736012799511375
5,0.004,tesseract,200000,0.00503,0.00015818816485439104,0.00503,0.00015818816485439104
5,0.004,stim,200000,0.005615,0.0001670848852380131,0.00562,0.00016715884062770955
5,0.002,tesseract,1700000,0.0006247058823529412,1.916362401121542e-05,0.0006247058823529412,1.916362401121542e-05
5,0.002,stim,1700000,0.0007464705882352941,2.0946898828398746e-05,0.0007464705882352941,2.0946898828398746e-05
5,0.001,tesseract,13400000,7.507462686567164e-05,2.366888988216966e-06,7.485074626865671e-05,2.3633574592477686e-06
5,0.001,stim,13400000,0.00010201492537313432,2.759035608174401e-06,0.00010201492537313432,2.759035608174401e-06
5,0.0008,tesseract,24000000,4.179166666666667e-05,1.319563060942016e-06,4.175e-05,1.3189051162722687e-06
5,0.0008,stim,24000000,5.6208333333333335e-05,1.5303209624753727e-06,5.625e-05,1.5308880311970892e-06
