distance,p,shots,ler_corr,err_corr,ler_mwpm,err_mwpm
3,0.01,100000,0.05479,0.000719639186676212,0.05839,0.0007414890956716761
3,0.008,100000,0.03768,0.0006021645755107153,0.0406,0.000624112489860602
3,0.006,100000,0.02153,0.00045898212492427197,0.02356,0.0004796345108517526
3,0.005,100000,0.01552,0.00039088527217074834,0.01734,0.00041278716549815356
3,0.004,100000,0.01012,0.0003165056966311981,0.01148,0.00033687103763903483
3,0.003,100000,0.00579,0.00023992657001674494,0.00654,0.00025489661433608727
3,0.002,200000,0.00263,0.0001145225545471284,0.00313,0.00012490402515531675
3,0.0015,300000,0.0014566666666666667,6.96310464493363e-05,0.0017066666666666667,7.536033341123068e-05
3,0.001,500000,0.000668,3.65391235800751e-05,0.00076,3.8972359435887384e-05
3,0.0008,700000,0.00045714285714285713,2.5549220775118434e-05,0.0004857142857142857,2.633515758034003e-05
3,0.0006,1200000,0.0002683333333333333,1.495162562386767e-05,0.0003075,1.6005349203469445e-05
3,0.0004,2600000,0.00011730769230769231,6.7166249312095205e-06,0.0001376923076923077,7.276763558930631e-06
3,0.0003,4700000,6.617021276595745e-05,3.752044386529743e-06,7.446808510638298e-05,3.980338369308317e-06
3,0.0002,10500000,2.8666666666666668e-05,1.652295514007245e-06,3.066666666666667e-05,1.7089603139035601e-06
5,0.01,100000,0.06846,0.0007985814197688298,0.08264,0.0008706930021540314
5,0.008,100000,0.03786,0.0006035446992559871,0.0488,0.0006813116761071984
5,0.006,100000,0.01686,0.0004071331526662991,0.02281,0.0004721197295178417
5,0.005,100000,0.00977,0.0003110393399555754,0.01399,0.0003714065144824469
5,0.004,100000,0.00547,0.00023323977147990862,0.00753,0.00027337335459038433
5,0.003,200000,0.00215,0.00010357068842100067,0.003325,0.0001287234317247641
5,0.002,500000,0.000634,3.559769779072798e-05,0.001014,4.5010483312224055e-05
5,0.0015,1100000,0.0002763636363636364,1.5848351204868205e-05,0.00043636363636363637,1.9912837867715023e-05
5,0.001,3800000,8.105263157894737e-05,4.61821513853058e-06,0.00012973684210526316,5.842674460991476e-06
5,0.0008,6900000,4.36231884057971e-05,2.514343935036848e-06,6.884057971014493e-05,3.1585137002850597e-06
5,0.0006,17200000,1.7441860465116278e-05,1.0069975014004416e-06,2.9767441860465116e-05,1.3155279194943745e-06
5,0.0004,54700000,5.484460694698355e-06,3.166446175283505e-07,8.647166361974407e-06,3.975954138758013e-07
5,0.0003,122700000,2.4449877750611246e-06,1.4116126244059152e-07,3.5615321923390385e-06,1.7037088617953387e-07
