p,rule,alpha,shots,errors,ler,ler_std
0.01,damped,0.2,20000,1521,0.07605,0.001874385199205329
0.01,damped,0.3,20000,1447,0.07235,0.0018318771451710399
0.01,damped,0.4,20000,1428,0.0714,0.0018207421563747022
0.01,damped,0.5,20000,1403,0.07015,0.0018059481927785194
0.01,damped,0.6,20000,1396,0.0698,0.0018017763457210776
0.01,damped,0.7,20000,1401,0.07005,0.0018047575668216494
0.01,damped,0.8,20000,1391,0.06955,0.0017987884464272057
0.01,damped,0.9,20000,1389,0.06945,0.0017975914093586451
0.01,damped,1.0,20000,1393,0.06965,0.001799984409654706
0.01,pearl,0.2,20000,1436,0.0718,0.0018254418643166921
0.01,pearl,0.3,20000,1402,0.0701,0.0018053530125712257
0.01,pearl,0.4,20000,1389,0.06945,0.0017975914093586451
0.01,pearl,0.5,20000,1376,0.0688,0.0017897843445510411
0.01,pearl,0.6,20000,1382,0.0691,0.0017933932920583817
0.01,pearl,0.7,20000,1378,0.0689,0.0017909884142562173
0.01,pearl,0.8,20000,1379,0.06895,0.0017915900409971027
0.01,pearl,0.9,20000,1379,0.06895,0.0017915900409971027
0.01,pearl,1.0,20000,1393,0.06965,0.001799984409654706
0.005,damped,0.2,100000,1196,0.01196,0.00034375803117890933
0.005,damped,0.3,100000,1144,0.01144,0.0003362904458946165
0.005,damped,0.4,100000,1100,0.011,0.00032983329122452147
0.005,damped,0.5,100000,1072,0.01072,0.0003256544426228514
0.005,damped,0.6,100000,1050,0.0105,0.00032233135125209276
0.005,damped,0.7,100000,1045,0.01045,0.00032157110411229424
0.005,damped,0.8,100000,1031,0.01031,0.0003194323699940255
0.005,damped,0.9,100000,1025,0.01025,0.0003185111850469305
0.005,damped,1.0,100000,1031,0.01031,0.0003194323699940255
0.005,pearl,0.2,100000,1119,0.01119,0.000332637699306618
0.005,pearl,0.3,100000,1087,0.01087,0.0003279000320219563
0.005,pearl,0.4,100000,1066,0.01066,0.0003247516651227519
0.005,pearl,0.5,100000,1051,0.01051,0.00032248317630536943
0.005,pearl,0.6,100000,1047,0.01047,0.00032187542776670607
0.005,pearl,0.7,100000,1029,0.01029,0.00031912561633312984
0.005,pearl,0.8,100000,1022,0.01022,0.0003180495495988007
0.005,pearl,0.9,100000,1021,0.01021,0.00031789551585387297
0.005,pearl,1.0,100000,1031,0.01031,0.0003194323699940255
0.001,damped,0.2,12110000,965,7.968620974401321e-05,2.5650876470070626e-06
0.001,damped,0.3,12110000,918,7.580511973575557e-05,2.501846936585486e-06
0.001,damped,0.4,12110000,903,7.456647398843931e-05,2.4813243618519034e-06
0.001,damped,0.5,12110000,901,7.440132122213047e-05,2.4785751758199352e-06
0.001,damped,0.6,12110000,912,7.530966143682906e-05,2.493658180736757e-06
0.001,damped,0.7,12110000,924,7.630057803468207e-05,2.510008969168733e-06
0.001,damped,0.8,12110000,941,7.770437654830718e-05,2.532991862776675e-06
0.001,damped,0.9,12110000,968,7.993393889347647e-05,2.569071417596431e-06
0.001,damped,1.0,12110000,1001,8.265895953757225e-05,2.6124918584534543e-06
0.001,pearl,0.2,12110000,932,7.696118909991742e-05,2.5208505582805376e-06
0.001,pearl,0.3,12110000,898,7.415359207266721e-05,2.474445668013601e-06
0.001,pearl,0.4,12110000,894,7.382328654004954e-05,2.4689289102494887e-06
0.001,pearl,0.5,12110000,903,7.456647398843931e-05,2.4813243618519034e-06
0.001,pearl,0.6,12110000,905,7.473162675474814e-05,2.48407050438269e-06
0.001,pearl,0.7,12110000,920,7.59702725020644e-05,2.5045705704455396e-06
0.001,pearl,0.8,12110000,937,7.737407101568951e-05,2.527602929754928e-06
0.001,pearl,0.9,12110000,964,7.96036333608588e-05,2.5637583474166107e-06
0.001,pearl,1.0,12110000,1001,8.265895953757225e-05,2.6124918584534543e-06
