p,rule,alpha,shots,errors,ler,ler_std
0.01,damped,0.4,50000,3650,0.073,0.0011633658066145833
0.01,damped,0.5,50000,3598,0.07196,0.0011556968322185537
0.01,damped,0.6,50000,3565,0.0713,0.001150793726086478
0.01,damped,0.7,50000,3559,0.07118,0.0011498991921033773
0.01,damped,0.8,50000,3544,0.07088,0.0011476587088503271
0.01,damped,0.9,50000,3544,0.07088,0.0011476587088503271
0.01,damped,1.0,50000,3541,0.07082,0.0011472098988415328
0.01,pearl,0.4,50000,3563,0.07126,0.0011504956531860518
0.01,pearl,0.5,50000,3520,0.0704,0.001144061536806478
0.01,pearl,0.6,50000,3525,0.0705,0.0011448122116749105
0.01,pearl,0.7,50000,3528,0.07056,0.0011452622965941034
0.01,pearl,0.8,50000,3529,0.07058,0.0011454122716297395
0.01,pearl,0.9,50000,3531,0.07062,0.0011457121418576308
0.01,pearl,1.0,50000,3541,0.07082,0.0011472098988415328
0.009,damped,0.4,60000,3308,0.05513333333333333,0.0009317872511906789
0.009,damped,0.5,60000,3239,0.053983333333333335,0.0009225791118340977
0.009,damped,0.6,60000,3232,0.05386666666666667,0.0009216384765630619
0.009,damped,0.7,60000,3216,0.0536,0.0009194839132179892
0.009,damped,0.8,60000,3204,0.0534,0.0009178638243225408
0.009,damped,0.9,60000,3191,0.05318333333333333,0.0009161046736853535
0.009,damped,1.0,60000,3186,0.0531,0.0009154269495705269
0.009,pearl,0.4,60000,3205,0.05341666666666667,0.0009179989686712516
0.009,pearl,0.5,60000,3176,0.05293333333333333,0.0009140696140115693
0.009,pearl,0.6,60000,3174,0.0529,0.0009137978441646709
0.009,pearl,0.7,60000,3177,0.05295,0.0009142054610425382
0.009,pearl,0.8,60000,3178,0.05296666666666667,0.0009143412828268673
0.009,pearl,0.9,60000,3185,0.05308333333333334,0.0009152913293550817
0.009,pearl,1.0,60000,3186,0.0531,0.0009154269495705269
0.008,damped,0.4,80000,3153,0.0394125,0.0006879240041944133
0.008,damped,0.5,80000,3109,0.0388625,0.0006833026973251862
0.008,damped,0.6,80000,3075,0.0384375,0.000679706357497026
0.008,damped,0.7,80000,3039,0.0379875,0.0006758739697953125
0.008,damped,0.8,80000,3031,0.0378875,0.0006750188640303877
0.008,damped,0.9,80000,3018,0.037725,0.0006736266062793986
0.008,damped,1.0,80000,3045,0.0380625,0.0006765144685606325
0.008,pearl,0.4,80000,3097,0.0387125,0.0006820359442851051
0.008,pearl,0.5,80000,3060,0.03825,0.0006781126150942777
0.008,pearl,0.6,80000,3037,0.0379625,0.0006756603121553575
0.008,pearl,0.7,80000,3028,0.03785,0.0006746978721991052
0.008,pearl,0.8,80000,3012,0.03765,0.0006729828888983731
0.008,pearl,0.9,80000,3012,0.03765,0.0006729828888983731
0.008,pearl,1.0,80000,3045,0.0380625,0.0006765144685606325
0.007,damped,0.4,120000,3306,0.02755,0.0004725021825346419
0.007,damped,0.5,120000,3256,0.027133333333333332,0.0004690159517148249
0.007,damped,0.6,120000,3214,0.026783333333333333,0.00046606496675972195
0.007,damped,0.7,120000,3201,0.026675,0.0004651473276912739
0.007,damped,0.8,120000,3181,0.02650833333333333,0.0004637316177598689
0.007,damped,0.9,120000,3182,0.026516666666666668,0.000463802517741078
0.007,damped,1.0,120000,3157,0.026308333333333333,0.00046202637849077
0.007,pearl,0.4,120000,3203,0.026691666666666666,0.0004652886344089926
0.007,pearl,0.5,120000,3182,0.026516666666666668,0.000463802517741078
0.007,pearl,0.6,120000,3165,0.026375,0.0004625955700807492
0.007,pearl,0.7,120000,3140,0.026166666666666668,0.0004608142451341088
0.007,pearl,0.8,120000,3171,0.026425,0.0004630219520983859
0.007,pearl,0.9,120000,3167,0.026391666666666667,0.0004627377460760236
0.007,pearl,1.0,120000,3157,0.026308333333333333,0.00046202637849077
0.006,damped,0.4,180000,3204,0.0178,0.00031165472347883106
0.006,damped,0.5,180000,3119,0.01732777777777778,0.0003075668481544724
0.006,damped,0.6,180000,3077,0.017094444444444443,0.0003055252709458858
0.006,damped,0.7,180000,3050,0.016944444444444446,0.0003042050683239258
0.006,damped,0.8,180000,3031,0.01683888888888889,0.00030327234469181274
0.006,damped,0.9,180000,3015,0.01675,0.00030248450373531534
0.006,damped,1.0,180000,3022,0.016788888888888888,0.0003028294541924128
0.006,pearl,0.4,180000,3094,0.01718888888888889,0.00030635338153161835
0.006,pearl,0.5,180000,3047,0.016927777777777778,0.00030405799992475806
0.006,pearl,0.6,180000,3027,0.016816666666666667,0.0003030755900292944
0.006,pearl,0.7,180000,3003,0.016683333333333335,0.00030189217834465177
0.006,pearl,0.8,180000,3009,0.016716666666666668,0.0003021884963821075
0.006,pearl,0.9,180000,3006,0.0167,0.00030204037625603783
0.006,pearl,1.0,180000,3022,0.016788888888888888,0.0003028294541924128
0.005,damped,0.4,310000,3254,0.010496774193548388,0.00018304408005228478
0.005,damped,0.5,310000,3173,0.010235483870967742,0.00018077537961197737
0.005,damped,0.6,310000,3135,0.010112903225806451,0.000179700758557933
0.005,damped,0.7,310000,3118,0.010058064516129032,0.00017921783334290127
