step,node_id,base_weight,is_selected,action_taken,correlated_action_taken,num_selected_neighbors,weights_of_selected_neighbors,corrs_with_selected_neighbors,max_corr_to_selected_neighbor,weight_of_highest_corr_neighbor,logical_outcome,corr_logical_outcome
7545,8,4.8615465,0.0,-0.59315974,-0.87100667,1,[np.float32(5.877573)],[np.float32(0.0532357)],0.0532357,5.184434,fixed,fixed
7545,12,4.411208,0.0,-0.5650759,-1.4704014,3,"[np.float32(6.842684), np.float32(5.877573), np.float32(6.7248263)]","[np.float32(0.033946827), np.float32(0.040589653), np.float32(0.15543056)]",0.15543056,6.214031,fixed,fixed
7545,18,4.8111362,0.0,-0.5977445,-1.2378639,1,[np.float32(6.842684)],[np.float32(0.08839323)],0.08839323,7.5358305,fixed,fixed
7545,21,6.088874,0.0,-0.70087343,-1.3813437,1,[np.float32(6.842684)],[np.float32(0.08446663)],0.08446663,6.7248263,fixed,fixed
7545,25,5.2083592,0.0,-0.61269134,-0.95436126,1,[np.float32(5.0934668)],[np.float32(0.087324865)],0.087324865,4.5525913,fixed,fixed
7545,27,4.8111362,0.0,-0.59878355,-0.5753982,1,[np.float32(5.0934668)],[np.float32(0.031217033)],0.031217033,7.5358305,fixed,fixed
7545,28,6.842684,0.0,-0.6842971,-1.3574401,1,[np.float32(6.088874)],[np.float32(0.08446663)],0.08446663,4.8111362,fixed,fixed
7545,30,4.5525913,0.0,-0.5823696,-0.88719004,1,[np.float32(5.0934668)],[np.float32(0.093068875)],0.093068875,6.214031,fixed,fixed
7545,32,5.977319,0.0,-0.6780851,-1.0689851,1,[np.float32(6.088874)],[np.float32(0.05349227)],0.05349227,6.088874,fixed,fixed
7545,36,5.0301485,0.0,-0.6025215,-0.4632958,1,[np.float32(4.5525913)],[np.float32(0.024382805)],0.024382805,5.1152887,fixed,fixed
7545,40,4.8111362,0.0,-0.59804094,-0.63011235,1,[np.float32(4.5525913)],[np.float32(0.049403396)],0.049403396,7.5358305,fixed,fixed
7545,47,5.901499,0.0,-0.6507243,-0.9935665,1,[np.float32(4.5525913)],[np.float32(0.09528099)],0.09528099,4.5525913,fixed,fixed
7545,50,6.842684,0.0,-0.71588045,-1.0674742,1,[np.float32(4.5525913)],[np.float32(0.07710127)],0.07710127,6.088874,fixed,fixed
7545,52,7.5358305,0.0,-0.724434,-1.0631732,1,[np.float32(4.5525913)],[np.float32(0.054496072)],0.054496072,4.8111362,fixed,fixed
7545,53,5.786329,0.0,-0.6606191,-0.7153559,1,[np.float32(4.5525913)],[np.float32(0.041849934)],0.041849934,6.088874,fixed,fixed
7545,54,7.5358305,0.0,-0.724434,-1.0631732,1,[np.float32(4.5525913)],[np.float32(0.054496072)],0.054496072,4.8111362,fixed,fixed
7545,55,5.2083592,0.0,-0.61269134,-0.7078059,1,[np.float32(5.0934668)],[np.float32(0.0407778)],0.0407778,4.951692,fixed,fixed
7545,60,4.951692,0.0,-0.6073078,-0.8688056,1,[np.float32(5.0934668)],[np.float32(0.07544661)],0.07544661,5.2083592,fixed,fixed
7545,63,8.228977,0.0,-0.76227367,-1.294222,1,[np.float32(4.5525913)],[np.float32(0.078724585)],0.078724585,4.5525913,fixed,fixed
7545,64,6.088501,0.0,-0.66845304,-0.58072996,1,[np.float32(4.5525913)],[np.float32(0.022736935)],0.022736935,4.5525913,fixed,fixed
7545,65,7.5358305,0.0,-0.7532223,-1.2985231,1,[np.float32(4.5525913)],[np.float32(0.11134854)],0.11134854,4.5525913,fixed,fixed
7545,66,5.901499,0.0,-0.68824005,-0.9935665,1,[np.float32(4.5525913)],[np.float32(0.09528099)],0.09528099,6.088874,fixed,fixed
7545,72,5.184434,0.0,-0.65362626,-1.2467588,1,[np.float32(5.877573)],[np.float32(0.13178323)],0.13178323,4.8615465,fixed,fixed
