rounds,n,mwpm,cm,rcm,bm,tn,pymatching,corr
1,50000,0.00784,0.00784,0.00784,0.00798,0.0077,0.00816,0.00816
3,50000,0.07098,0.06208,0.06188,0.0556,0.05278,0.07288,0.06518
5,50000,0.14158,0.11846,0.11822,0.10724,0.10216,0.14376,0.12516
7,50000,0.19696,0.16634,0.16596,0.15384,0.1438,0.19914,0.17424
9,50000,0.23898,0.20416,0.2019,0.18472,0.17838,0.24432,0.21268
11,50000,0.28442,0.24296,0.24268,0.22436,0.21728,0.2883,0.2526
13,50000,0.32142,0.2783,0.27636,0.25806,0.24716,0.32666,0.28862
15,50000,0.35316,0.30678,0.305,0.28468,0.27424,0.35622,0.31806
17,50000,0.37498,0.33704,0.3355,0.31204,0.30028,0.379,0.34758
19,50000,0.39336,0.35694,0.35522,0.33472,0.32572,0.3972,0.36336
21,50000,0.41068,0.37938,0.37702,0.35324,0.34646,0.41534,0.38286
23,50000,0.4291,0.39,0.38792,0.36814,0.36098,0.42984,0.39814
25,50000,0.43504,0.40564,0.40336,0.3845,0.37694,0.43858,0.41024
