p,static_mean,static_std,corr_mean,corr_std,neural_mean,neural_std
0.01,0.08163,0.000612235833237487,0.06914,0.0005672726875145674,0.075505,0.0005907791252871077
0.008,0.047765,0.00047688313439982335,0.038795,0.00043179826293652455,0.0435,0.00045611265055904777
0.006,0.0224,0.0003308945451348511,0.016825,0.00028759276220899577,0.019395,0.00030837342601949347
0.004,0.00741,0.00019176928716559385,0.00493,0.00015661569365807502,0.00603,0.0001731132447272594
0.002,0.00101,4.100772081775171e-05,0.0006,3.161328834525127e-05,0.000775,3.592583506336352e-05
0.001,0.000131,5.722386717970047e-06,7.8e-05,4.415708210468622e-06,9.65e-05,4.911483679856831e-06
0.0008,6.583333333333334e-05,2.799425946799407e-06,3.6666666666666666e-05,2.0892389313262645e-06,4.761904761904762e-05,2.380895690935088e-06
0.0006,3.061728395061729e-05,1.3747355869793489e-06,1.8641975308641974e-05,1.0727151367118746e-06,2.191358024691358e-05,1.1630393357124536e-06
0.0004,7.4807692307692304e-06,3.792886375242715e-07,5.923076923076923e-06,3.3749763076765805e-07,5.8269230769230765e-06,3.3474700906030203e-07
0.0002,1.069277108433735e-06,5.1806617484266863e-08,9.362449799196788e-07,4.847690480642287e-08,7.53012048192771e-07,4.3475154504045974e-08
