p,bp_iters,ler_mean,ler_std,n_shots,n_errors
0.01,10,0.06518,0.0007805867511045777,100000,6518
0.01,20,0.06507,0.0007799736860946016,100000,6507
0.01,30,0.06514,0.0007803638920401174,100000,6514
0.008,10,0.03755,0.0006011655138146233,100000,3755
0.008,20,0.03742,0.0006001645074477498,100000,3742
0.008,30,0.03742,0.0006001645074477498,100000,3742
0.006,10,0.01654,0.0004033166051627431,100000,1654
0.006,20,0.01643,0.0004019957101761162,100000,1643
0.006,30,0.01653,0.00040319671501638007,100000,1653
0.004,10,0.00497,0.00022238028464771783,100000,497
0.004,20,0.00498,0.0002226027762630107,100000,498
0.004,30,0.00504,0.0002239329899769125,100000,504
