p,bp_iters,ler_mean,ler_std,n_shots,n_errors
0.01,5,0.06708,0.0007910769469526969,100000,6708
0.01,mwpm,0.08235,0.0008693013142748606,100000,8235
0.007,5,0.02675,0.0005102395270850739,100000,2675
0.007,mwpm,0.03455,0.0005775491104659413,100000,3455
0.004,5,0.00516,0.00016020883870748205,200000,1032
0.004,mwpm,0.00686,0.0001845662536868536,200000,1372
0.002,5,0.00074,2.2982173215653163e-05,1400000,1036
0.002,mwpm,0.0010292857142857144,2.7100689042427392e-05,1400000,1441
0.001,5,9.481132075471699e-05,2.990587933112278e-06,10600000,1005
0.001,mwpm,0.00013113207547169812,3.5170055854065955e-06,10600000,1390
0.0007,5,3.607913669064748e-05,1.1391943857115885e-06,27800000,1003
0.0007,mwpm,4.3741007194244603e-05,1.2543319744411955e-06,27800000,1216
0.0004,5,8.064516129032258e-06,2.5502136363089305e-07,124000000,1000
0.0004,mwpm,8.435483870967741e-06,2.608208616727321e-07,124000000,1046
