p,static_mean,static_std,corr_mean,corr_std,neural_mean,neural_std
0.01,0.08163,0.000612235833237487,0.06914,0.0005672726875145674,0.074885,0.000588545821389465
0.008,0.047765,0.00047688313439982335,0.038795,0.00043179826293652455,0.042765,0.0004524165932799105
0.006,0.0224,0.0003308945451348511,0.016825,0.00028759276220899577,0.01894,0.0003048054822341619
0.004,0.00741,0.00019176928716559385,0.00493,0.00015661569365807502,0.00564,0.0001674543281017245
0.002,0.00101,4.100772081775171e-05,0.0006,3.161328834525127e-05,0.0007033333333333334,3.4225688587072424e-05
0.001,0.000131,5.722386717970047e-06,7.8e-05,4.415708210468622e-06,9.225e-05,4.8021216648867825e-06
0.0008,6.583333333333334e-05,2.799425946799407e-06,3.6666666666666666e-05,2.0892389313262645e-06,4.488095238095238e-05,2.3114347760506673e-06
0.0006,3.061728395061729e-05,1.3747355869793489e-06,1.8641975308641974e-05,1.0727151367118746e-06,2.111111111111111e-05,1.1415460988539034e-06
0.0004,7.4324324324324324e-06,3.787904237989486e-07,5.888030888030888e-06,3.37146675318107e-07,5.810810810810811e-06,3.349285939367646e-07
0.0002,1.0647030420086914e-06,5.070011786725032e-08,9.343312409464028e-07,4.7494703965896536e-08,7.24287783679382e-07,4.1816759544112593e-08
