p,static_mean,static_std,corr_mean,corr_std,neural_mean,neural_std
0.01,0.057915,0.0005223066760773789,0.055075,0.0005101065789371865,0.058495,0.0005247539183989005
0.008,0.03977,0.00043696880380640445,0.037475,0.0004246800229290283,0.040465,0.0004406108474322892
0.006,0.02378,0.0003406942294785751,0.02186,0.00032697202020968096,0.023445,0.00033834399636316885
0.004,0.01134,0.00023676364163443677,0.010205,0.00022473159518634667,0.01106,0.0002338554724610908
0.002,0.002825,0.00011868065080290047,0.00254,0.0001125510639665392,0.002715,0.00011635352970580652
0.001,0.000795,3.638607735109681e-05,0.0006916666666666667,3.3940837346989764e-05,0.00077,3.580984734213016e-05
0.0008,0.000475,2.4361198015491766e-05,0.00042625,2.3077811609246555e-05,0.0004425,2.3513405584634058e-05
0.0006,0.00027333333333333333,1.5090245807094015e-05,0.00026333333333333336,1.4811706768884113e-05,0.000275,1.513617011774555e-05
0.0004,0.00012571428571428572,6.700172749176298e-06,0.00011071428571428571,6.287800775572844e-06,0.00011357142857142858,6.368407798938916e-06
0.0002,2.875e-05,1.5478257179427534e-06,2.525e-05,1.4505562851741856e-06,2.7083333333333332e-05,1.5022926874832817e-06
