distance,p,shots,ler_standard,std_err_standard,ler_correlated,std_err_correlated
3,0.01,100000,0.05819,0.000740296723618307,0.05592,0.0007265875969213897
3,0.008,100000,0.03944,0.0006155037481608052,0.03686,0.0005958300126713994
3,0.006,100000,0.02395,0.00048349144253026857,0.02216,0.0004654990268518292
3,0.004,200000,0.010885,0.00023201849899307599,0.009865,0.00022099413764849058
3,0.002,400000,0.00289,8.487708613047459e-05,0.0025525,7.97807110733854e-05
3,0.001,1500000,0.0007433333333333334,2.2252801904312918e-05,0.0006953333333333333,2.152285366595066e-05
3,0.0008,2300000,0.0005069565217391304,1.484264591471651e-05,0.0004347826086956522,1.3746044059842912e-05
3,0.0006,4100000,0.0002704878048780488,8.121255478237055e-06,0.00024804878048780487,7.777190731913536e-06
3,0.0004,8700000,0.00013057471264367817,3.8738389122641606e-06,0.00011597701149425287,3.6509101499010236e-06
3,0.0002,34200000,3.0409356725146197e-05,9.429397851848738e-07,2.9269005847953215e-05,9.250912579173704e-07
3,0.0001,128900000,7.835531419705198e-06,2.465506024465126e-07,7.765709852598913e-06,2.4544966013066214e-07
5,0.01,100000,0.08216,0.0008683877843452198,0.06976,0.0008055652822707791
5,0.008,100000,0.04785,0.0006749842775946711,0.03805,0.0006049974999948347
5,0.006,100000,0.02344,0.0004784408678196293,0.01691,0.00040772603424358374
5,0.004,200000,0.007255,0.00018976781833335177,0.00508,0.0001589684496999326
5,0.002,1600000,0.001033125,2.5397559586680457e-05,0.000656875,2.0255300467321744e-05
5,0.001,12700000,0.00013322834645669292,3.2386761739020853e-06,7.952755905511812e-05,2.5023018445931417e-06
5,0.0008,24200000,6.673553719008265e-05,1.660567009084381e-06,4.140495867768595e-05,1.308005299656329e-06
5,0.0006,54800000,2.8083941605839417e-05,7.158675113177572e-07,1.8266423357664234e-05,5.773411510202175e-07
5,0.0004,169500000,8.448377581120944e-06,2.232543717150796e-07,5.899705014749263e-06,1.8656450335704636e-07
5,0.0002,1000000000,1.007e-06,3.173324732754276e-08,9.23e-07,3.038090104113109e-08
5,0.0001,1000000000,1.38e-07,1.1747339313904234e-08,1.71e-07,1.3076695712564395e-08
