distance,p,shots,ler_standard,std_err_standard,ler_correlated,std_err_correlated
3,0.0001,66800000,7.79940119760479e-06,3.4169663785227267e-07,7.5e-06,3.3507403217188904e-07
3,0.0003,7800000,7.282051282051282e-05,3.0553695901626096e-06,6.551282051282051e-05,2.8980216192317273e-06
3,0.001,700000,0.0007642857142857143,3.3030323332889414e-05,0.0007271428571428572,3.2218320440576386e-05
3,0.003,100000,0.00663,0.0002566328720175964,0.00584,0.00024095423631884956
3,0.01,100000,0.05843,0.0007417272753512575,0.05484,0.0007199484314865892
5,0.0001,100000000,9e-08,2.999999864999997e-08,1.3e-07,3.605551041103149e-08
5,0.0003,100000000,3.69e-06,1.9209337270973195e-07,2.67e-06,1.6340112824273887e-07
5,0.001,6400000,0.00012875,4.484930034249071e-06,7.828125e-05,3.4972114347965336e-06
5,0.003,300000,0.00328,0.00010439095746279943,0.0022466666666666668,8.644110047802406e-05
5,0.01,100000,0.08227,0.0008689168377928926,0.06868,0.0007997690766715103
