distance,n_rounds,p,static_mean,static_std,corr_mean,corr_std,neural_mean,neural_std,n_shots,static_errors,corr_errors,neural_errors,target_reached,seconds
3,3,0.01,0.058255,0.0005237430427938877,0.05549,0.0005119123943605976,0.05911,0.0005273329493782841,200000,11651,11098,11822,1,354.3
3,3,0.006132375635173039,0.024725,0.0003472295665334391,0.022505,0.00033165136042989483,0.024055,0.0003426102521452036,200000,4945,4501,4811,1,257.8
3,3,0.0037606030930863936,0.00993,0.0002217137242030813,0.00898,0.00021094264149289492,0.00968,0.00021893261063624122,200000,1986,1796,1936,1,158.2
3,3,0.002306143078159937,0.00372,0.0001361279104372061,0.003355,0.00012930088891805808,0.00378,0.0001372171928003193,200000,744,671,756,1,80.4
3,3,0.0014142135623730952,0.00152,6.159727266689655e-05,0.0013875,5.8855221598215057e-05,0.001485,6.088503048779725e-05,400000,608,555,594,1,96.1
3,3,0.0008672488792828036,0.000599,2.4467145297316562e-05,0.00054,2.3231624996973414e-05,0.00057,2.386786752099986e-05,1000000,599,540,570,1,234.4
3,3,0.0005318295896944989,0.00020678571428571428,8.592832435775462e-06,0.00018607142857142856,8.151178836631502e-06,0.00019535714285714287,8.352052323571168e-06,2800000,579,521,547,1,509.9
3,3,0.00032613788179066197,8.348484848484849e-05,3.5564256563621005e-06,7.666666666666667e-05,3.40811840225234e-06,8.166666666666667e-05,3.5174887138201102e-06,6600000,551,506,539,1,1055.0
3,3,0.00020000000000000004,3.0376344086021505e-05,1.277922990674175e-06,2.7096774193548387e-05,1.2069699009702808e-06,2.8870967741935483e-05,1.2458562329500506e-06,18600000,565,504,537,1,3047.4
5,5,0.01,0.081675,0.000612389558920627,0.069035,0.0005668737459743571,0.07483,0.0005883471386010133,200000,16335,13807,14966,1,1226.1
5,5,0.006132375635173039,0.02383,0.00034104348036577387,0.018245,0.0002992667704156277,0.02036,0.0003157963774333075,200000,4766,3649,4072,1,1288.8
5,5,0.0037606030930863936,0.00619,0.0001753807842952015,0.004175,0.00014417991148214787,0.004875,0.00015574393045958486,200000,1238,835,975,1,1047.8
5,5,0.002306143078159937,0.00148,4.9628781971755055e-05,0.0009516666666666666,3.980705543037612e-05,0.0010433333333333334,4.167822750727469e-05,600000,888,571,626,1,3437.5
5,5,0.0014142135623730952,0.00037125,1.2435034067730776e-05,0.00021916666666666666,9.555073535363489e-06,0.00025291666666666664,1.0264272579892289e-05,2400000,891,526,607,1,4710.6
5,5,0.0008672488792828036,8.372340425531915e-05,2.9842921154808515e-06,5.351063829787234e-05,2.3858575983763e-06,5.8617021276595745e-05,2.497095873239603e-06,9400000,787,503,551,1,11703.9
5,5,0.0005318295896944989,1.9206349206349206e-05,7.128076300983585e-07,1.3227513227513228e-05,5.91548462603574e-07,1.3571428571428572e-05,5.991891431807577e-07,37800000,726,500,513,1,26626.6
7,7,0.01,0.100195,0.0006714013776236983,0.079055,0.000603346115322706,0.08662,0.0006289553863351517,200000,20039,15811,17324,1,1586.3
7,7,0.006132375635173039,0.020525,0.0003170467187576619,0.0127,0.00025038680077032815,0.014855,0.0002705025783148841,200000,4105,2540,2971,1,1303.2
7,7,0.0037606030930863936,0.0034125,9.220703394738929e-05,0.00174,6.589712436821504e-05,0.00217,7.357464067190543e-05,400000,1365,696,868,1,2387.3
7,7,0.002306143078159937,0.000495,1.3794577739097345e-05,0.00019653846153846154,8.693495229007048e-06,0.00025115384615384615,9.82717519275011e-06,2600000,1287,511,653,1,8446.9
