p,alpha,shots,errors,ler,ler_std
0.0003,0.4,121100000,232,1.915772089182494e-06,1.2577647912167858e-07
0.0003,0.7,121100000,254,2.0974401321222132e-06,1.3160496066600274e-07
0.0003,0.9,121100000,273,2.254335260115607e-06,1.364384229395713e-07
0.0003,1.0,121100000,300,2.4772914946325352e-06,1.4302631396946176e-07
0.0003,1.1,121100000,317,2.6176713459950453e-06,1.470228778826834e-07
0.005,0.4,50000,479,0.00958,0.0004356196414304571
0.005,0.7,50000,476,0.00952,0.0004342664988230154
0.005,0.9,50000,485,0.0097,0.0004383129019319418
0.005,1.0,50000,498,0.00996,0.0004440900449233241
0.005,1.1,50000,498,0.00996,0.0004440900449233241
