p,alpha,shots,pearl_err,damp_err,n_disagree,pearl_ler,damp_ler
0.0002,0.1,300000,8,8,0,2.6666666666666667e-05,2.6666666666666667e-05
0.0002,0.2,300000,8,8,0,2.6666666666666667e-05,2.6666666666666667e-05
0.0002,0.3,300000,8,8,0,2.6666666666666667e-05,2.6666666666666667e-05
0.0002,0.4,300000,8,8,0,2.6666666666666667e-05,2.6666666666666667e-05
0.0002,0.9,300000,8,8,0,2.6666666666666667e-05,2.6666666666666667e-05
0.0007,0.1,500000,91,93,2,0.000182,0.000186
0.0007,0.2,500000,91,91,2,0.000182,0.000182
0.0007,0.3,500000,90,90,0,0.00018,0.00018
0.0007,0.4,500000,90,90,0,0.00018,0.00018
0.0007,0.9,500000,89,89,0,0.000178,0.000178
0.001,0.1,700000,216,216,8,0.00030857142857142856,0.00030857142857142856
0.001,0.2,700000,209,210,3,0.0002985714285714286,0.0003
0.001,0.3,700000,209,208,3,0.0002985714285714286,0.00029714285714285715
0.001,0.4,700000,209,206,5,0.0002985714285714286,0.00029428571428571427
0.001,0.9,700000,219,220,1,0.0003128571428571429,0.00031428571428571427
0.005,0.1,100000,1180,1252,124,0.0118,0.01252
0.005,0.2,100000,1092,1156,128,0.01092,0.01156
0.005,0.3,100000,1059,1098,91,0.01059,0.01098
0.005,0.4,100000,1030,1060,74,0.0103,0.0106
0.005,0.9,100000,995,1000,15,0.00995,0.01
0.01,0.1,100000,7698,8059,719,0.07698,0.08059
0.01,0.2,100000,7345,7666,789,0.07345,0.07666
0.01,0.3,100000,7155,7391,794,0.07155,0.07391
0.01,0.4,100000,7040,7227,727,0.0704,0.07227
0.01,0.9,100000,6934,6956,106,0.06934,0.06956
