dem,s,alpha_star,n_configs,mwpm_confuse,cm_confuse,rcm_confuse
analytical,1.0,0.8,1405326,4783,3364,2987
analytical,0.6,0.7,1405326,2394,2527,1897
analytical,0.4,0.6,1405326,1628,2303,1413
analytical,0.25,0.6,1405326,952,2003,1294
analytical,0.15,0.5,1405326,388,1734,982
analytical,0.1,0.4,1405326,120,1672,765
analytical,0.07,0.4,1405326,0,1624,751
analytical,0.05,0.2,1405326,0,1626,330
proj,1.0,0.8,1405326,3134,2265,1968
proj,0.6,0.8,1405326,1832,1676,1323
proj,0.4,0.8,1405326,1304,1426,1136
proj,0.25,0.5,1405326,508,1260,556
proj,0.15,0.4,1405326,120,1039,361
proj,0.1,0.5,1405326,0,925,481
proj,0.07,0.3,1405326,0,841,242
proj,0.05,0.4,1405326,0,784,327
pij,1.0,0.8,1405326,2436,2878,2237
pij,0.6,0.8,1405326,1252,2386,1795
pij,0.4,0.6,1405326,624,2281,1182
pij,0.25,0.5,1405326,384,2168,930
pij,0.15,0.5,1405326,0,2125,994
pij,0.1,0.6,1405326,0,2041,1343
pij,0.07,0.4,1405326,0,1985,895
pij,0.05,0.2,1405326,0,1958,388
