distance,rounds,p,decoder,alpha,shots,errors,ler,ler_std,decode_seconds,us_per_shot,is_best,best_at_endpoint
3,3,0.0001,cm,0.1,72000000,504,7e-06,3.1180369091251417e-07,3.2736,0.0455,1,1
3,3,0.0001,cm,0.2,72000000,505,7.013888888888889e-06,3.121128645184913e-07,3.2616,0.0453,0,1
3,3,0.0001,cm,0.3,72000000,539,7.486111111111111e-06,3.224484254465171e-07,3.2602,0.0453,0,1
3,3,0.0001,cm,0.4,72000000,542,7.527777777777778e-06,3.2334452537200733e-07,3.2598,0.0453,0,1
3,3,0.0001,cm,0.5,72000000,539,7.486111111111111e-06,3.224484254465171e-07,3.2599,0.0453,0,1
3,3,0.0001,cm,0.6,72000000,541,7.513888888888889e-06,3.2304610159393174e-07,3.2592,0.0453,0,1
3,3,0.0001,cm,0.7,72000000,538,7.472222222222222e-06,3.2214917153991126e-07,3.2599,0.0453,0,1
3,3,0.0001,cm,0.8,72000000,547,7.597222222222222e-06,3.248325317340188e-07,3.2603,0.0453,0,1
3,3,0.0001,cm,0.9,72000000,563,7.819444444444444e-06,3.2954900370584374e-07,3.2615,0.0453,0,1
3,3,0.0001,cm,1.0,72000000,573,7.958333333333333e-06,3.3246282161117675e-07,2.9678,0.0412,0,1
3,3,0.0001,mwpm,,72000000,579,8.041666666666666e-06,3.34198917775857e-07,1.7497,0.0243,0,1
