distance,rounds,p,decoder,alpha,shots,errors,ler,ler_std,decode_seconds,us_per_shot,is_best,best_at_endpoint
11,11,0.004,cm,0.1,2000000,1303,0.0006515,1.804266537612999e-05,270.9338,135.4669,0,0
11,11,0.004,cm,0.2,2000000,933,0.0004665,1.5268961617444717e-05,272.9029,136.4514,0,0
11,11,0.004,cm,0.3,2000000,776,0.000388,1.3925685907703073e-05,274.7611,137.3806,0,0
11,11,0.004,cm,0.4,2000000,715,0.0003575,1.3367351902115841e-05,275.0947,137.5473,0,0
11,11,0.004,cm,0.5,2000000,666,0.000333,1.2901339290941851e-05,276.2093,138.1046,0,0
11,11,0.004,cm,0.6,2000000,637,0.0003185,1.2617419659938398e-05,277.1859,138.5929,0,0
11,11,0.004,cm,0.7,2000000,628,0.000314,1.2527996727330351e-05,277.6945,138.8473,0,0
11,11,0.004,cm,0.8,2000000,616,0.000308,1.2407762409072798e-05,278.7626,139.3813,1,0
11,11,0.004,cm,0.9,2000000,630,0.000315,1.2547923633015943e-05,279.4329,139.7165,0,0
11,11,0.004,cm,1.0,2000000,624,0.000312,1.2488047405419311e-05,197.3133,98.6567,0,0
11,11,0.004,mwpm,,2000000,2298,0.001149,2.395495563552561e-05,69.9602,34.9801,0,0
