distance,rounds,p,decoder,alpha,shots,errors,ler,ler_std,decode_seconds,us_per_shot,is_best,best_at_endpoint
3,3,7e-05,cm,0.04,147000000,505,3.435374149659864e-06,1.5287188063942118e-07,10.1632,0.0691,1,1
3,3,7e-05,cm,0.05,603000000,2008,3.330016583747927e-06,7.431283315844998e-08,41.7565,0.0692,0,0
3,3,7e-05,cm,0.07,147000000,507,3.448979591836735e-06,1.5317429706537865e-07,10.1722,0.0692,0,1
3,3,7e-05,cm,0.1,603000000,2010,3.3333333333333333e-06,7.434983220754828e-08,41.7577,0.0692,0,0
3,3,7e-05,cm,0.2,603000000,2004,3.3233830845771143e-06,7.4238779740889e-08,41.7677,0.0693,1,0
3,3,7e-05,cm,0.3,603000000,2093,3.470978441127695e-06,7.586938231720764e-08,41.7851,0.0693,0,0
3,3,7e-05,cm,0.4,603000000,2074,3.439469320066335e-06,7.552423188741675e-08,41.8126,0.0693,0,0
3,3,7e-05,cm,0.5,603000000,2074,3.439469320066335e-06,7.552423188741675e-08,41.8407,0.0694,0,0
3,3,7e-05,cm,0.6,603000000,2069,3.431177446102819e-06,7.543314034227552e-08,41.866,0.0694,0,0
3,3,7e-05,cm,0.7,603000000,2152,3.5688225538971807e-06,7.693129558984608e-08,41.9045,0.0695,0,0
3,3,7e-05,cm,0.8,603000000,2197,3.6434494195688224e-06,7.773147793162523e-08,41.9088,0.0695,0,0
3,3,7e-05,cm,0.9,603000000,2196,3.64179104477612e-06,7.771378561437854e-08,41.9683,0.0696,0,0
3,3,7e-05,cm,1.0,603000000,2196,3.64179104477612e-06,7.771378561437854e-08,39.546,0.0656,0,0
3,3,7e-05,mwpm,,603000000,2341,3.882255389718076e-06,8.023845388760869e-08,21.8837,0.0363,0,0
3,3,0.0001,cm,0.05,293000000,2014,6.873720136518771e-06,1.5316538261535265e-07,22.0551,0.0753,0,0
3,3,0.0001,cm,0.1,293000000,2008,6.853242320819112e-06,1.5293706298708426e-07,22.054,0.0753,0,0
3,3,0.0001,cm,0.2,293000000,2001,6.829351535836178e-06,1.5267025851643028e-07,22.059,0.0753,1,0
3,3,0.0001,cm,0.3,293000000,2091,7.136518771331058e-06,1.560658371774355e-07,22.0759,0.0753,0,0
3,3,0.0001,cm,0.4,293000000,2079,7.095563139931741e-06,1.5561737438768072e-07,22.0818,0.0754,0,0
3,3,0.0001,cm,0.5,293000000,2087,7.122866894197952e-06,1.559164929087787e-07,22.0935,0.0754,0,0
3,3,0.0001,cm,0.6,293000000,2094,7.146757679180888e-06,1.561777516573643e-07,22.1023,0.0754,0,0
3,3,0.0001,cm,0.7,293000000,2094,7.146757679180888e-06,1.561777516573643e-07,22.118,0.0755,0,0
3,3,0.0001,cm,0.8,293000000,2141,7.307167235494881e-06,1.5792072406134986e-07,22.173,0.0757,0,0
3,3,0.0001,cm,0.9,293000000,2179,7.4368600682593855e-06,1.5931599485389317e-07,22.2037,0.0758,0,0
3,3,0.0001,cm,1.0,293000000,2242,7.651877133105802e-06,1.6160266638013036e-07,20.4963,0.07,0,0
3,3,0.0001,mwpm,,293000000,2342,7.993174061433447e-06,1.6516730757056247e-07,11.0293,0.0376,0,0
3,3,0.0002,cm,0.05,77000000,2068,2.6857142857142857e-05,5.905799653457587e-07,7.3646,0.0956,0,0
3,3,0.0002,cm,0.1,77000000,2034,2.641558441558441e-05,5.857051098859823e-07,7.383,0.0959,0,0
3,3,0.0002,cm,0.2,77000000,2015,2.616883116883117e-05,5.829631691948865e-07,7.3797,0.0958,0,0
3,3,0.0002,cm,0.3,77000000,2013,2.6142857142857144e-05,5.826737931906128e-07,7.3882,0.096,1,0
3,3,0.0002,cm,0.4,77000000,2086,2.709090909090909e-05,5.93144549666773e-07,7.3893,0.096,0,0
3,3,0.0002,cm,0.5,77000000,2104,2.732467532467533e-05,5.956980919153651e-07,7.396,0.0961,0,0
3,3,0.0002,cm,0.6,77000000,2104,2.732467532467533e-05,5.956980919153651e-07,7.3993,0.0961,0,0
3,3,0.0002,cm,0.7,77000000,2101,2.7285714285714286e-05,5.952732623130387e-07,7.4031,0.0961,0,0
3,3,0.0002,cm,0.8,77000000,2113,2.744155844155844e-05,5.969707665668715e-07,7.4037,0.0962,0,0
3,3,0.0002,cm,0.9,77000000,2118,2.7506493506493508e-05,5.976766369272615e-07,7.4144,0.0963,0,0
3,3,0.0002,cm,1.0,77000000,2131,2.767532467532468e-05,5.995080098869036e-07,6.5453,0.085,0,0
3,3,0.0002,mwpm,,77000000,2374,3.083116883116883e-05,6.327657110396374e-07,3.2613,0.0424,0,0
3,3,0.0004,cm,0.05,19000000,2128,0.000112,2.427771948017142e-06,2.6159,0.1377,0,0
3,3,0.0004,cm,0.1,19000000,2083,0.0001096315789473,2.401968051238794e-06,2.6417,0.139,0,0
3,3,0.0004,cm,0.2,19000000,2060,0.0001084210526315,2.38867170208978e-06,2.6316,0.1385,0,0
3,3,0.0004,cm,0.3,19000000,2058,0.0001083157894736,2.387511996811247e-06,2.6431,0.1391,0,0
3,3,0.0004,cm,0.4,19000000,2044,0.0001075789473684,2.379378226371713e-06,2.6446,0.1392,1,0
3,3,0.0004,cm,0.5,19000000,2048,0.0001077894736842,2.3817049964653628e-06,2.6459,0.1393,0,0
3,3,0.0004,cm,0.6,19000000,2158,0.0001135789473684,2.444823179389632e-06,2.6411,0.139,0,0
3,3,0.0004,cm,0.7,19000000,2163,0.0001138421052631,2.447653497559901e-06,2.6452,0.1392,0,0
3,3,0.0004,cm,0.8,19000000,2156,0.0001134736842105,2.443690133831448e-06,2.6515,0.1396,0,0
3,3,0.0004,cm,0.9,19000000,2157,0.0001135263157894,2.444256722293873e-06,2.653,0.1396,0,0
3,3,0.0004,cm,1.0,19000000,2179,0.0001146842105263,2.456688593445847e-06,2.1711,0.1143,0,0
3,3,0.0004,mwpm,,19000000,2379,0.0001252105263157,2.566944206638346e-06,0.9961,0.0524,0,0
3,3,0.0007,cm,0.05,7000000,2527,0.000361,7.18002864100933e-06,1.41,0.2014,0,0
3,3,0.0007,cm,0.1,7000000,2450,0.00035,7.069830266703721e-06,1.4311,0.2044,0,0
3,3,0.0007,cm,0.2,7000000,2391,0.0003415714285714,6.98421442080652e-06,1.4176,0.2025,0,0
3,3,0.0007,cm,0.3,7000000,2365,0.0003378571428571,6.946149965558137e-06,1.4212,0.203,0,0
3,3,0.0007,cm,0.4,7000000,2347,0.0003352857142857,6.919674824889949e-06,1.4196,0.2028,0,0
3,3,0.0007,cm,0.5,7000000,2335,0.0003335714285714,6.901968235567398e-06,1.4218,0.2031,0,0
3,3,0.0007,cm,0.6,7000000,2329,0.0003327142857142,6.89309786171612e-06,1.4206,0.2029,1,0
3,3,0.0007,cm,0.7,7000000,2395,0.0003421428571428,6.9900520681502725e-06,1.4226,0.2032,0,0
3,3,0.0007,cm,0.8,7000000,2431,0.0003472857142857,7.042372844010212e-06,1.4251,0.2036,0,0
3,3,0.0007,cm,0.9,7000000,2437,0.0003481428571428,7.051055176292791e-06,1.427,0.2039,0,0
3,3,0.0007,cm,1.0,7000000,2447,0.0003495714285714,7.0655019879063e-06,1.1239,0.1606,0,0
3,3,0.0007,mwpm,,7000000,2741,0.0003915714285714,7.477758453170644e-06,0.4785,0.0684,0,0
3,3,0.001,cm,0.05,3000000,2215,0.0007383333333333,1.5682136304536895e-05,0.6925,0.2308,0,0
3,3,0.001,cm,0.1,3000000,2167,0.0007223333333333,1.5511410508492224e-05,0.7019,0.234,0,0
3,3,0.001,cm,0.2,3000000,2105,0.0007016666666666,1.528805994401683e-05,0.6992,0.2331,0,0
3,3,0.001,cm,0.3,3000000,2082,0.000694,1.520436739887589e-05,0.6973,0.2324,0,0
3,3,0.001,cm,0.4,3000000,2073,0.000691,1.5171492115148068e-05,0.6968,0.2323,0,0
3,3,0.001,cm,0.5,3000000,2047,0.0006823333333333,1.50761152661592e-05,0.6996,0.2332,1,0
3,3,0.001,cm,0.6,3000000,2047,0.0006823333333333,1.50761152661592e-05,0.6962,0.2321,0,0
3,3,0.001,cm,0.7,3000000,2050,0.0006833333333333,1.5087151143593333e-05,0.7152,0.2384,0,0
3,3,0.001,cm,0.8,3000000,2101,0.0007003333333333,1.5273537753857764e-05,0.8061,0.2687,0,0
3,3,0.001,cm,0.9,3000000,2105,0.0007016666666666,1.528805994401683e-05,0.8064,0.2688,0,0
3,3,0.001,cm,1.0,3000000,2128,0.0007093333333333,1.5371295538064398e-05,0.6126,0.2042,0,0
3,3,0.001,mwpm,,3000000,2382,0.000794,1.626211921409179e-05,0.2188,0.0729,0,0
3,3,0.002,cm,0.05,1000000,2835,0.002835,5.316919009163107e-05,0.4701,0.4701,0,0
3,3,0.002,cm,0.1,1000000,2784,0.002784,5.269012567834698e-05,0.4779,0.4779,0,0
3,3,0.002,cm,0.2,1000000,2729,0.002729,5.2168501598186624e-05,0.4826,0.4826,0,0
3,3,0.002,cm,0.3,1000000,2703,0.002703,5.192007117676169e-05,0.4851,0.4851,0,0
3,3,0.002,cm,0.4,1000000,2679,0.002679,5.168967942442669e-05,0.488,0.488,0,0
3,3,0.002,cm,0.5,1000000,2664,0.002664,5.154515597027523e-05,0.4878,0.4878,0,0
3,3,0.002,cm,0.6,1000000,2656,0.002656,5.14679090696329e-05,0.3172,0.3172,0,1
3,3,0.002,cm,0.7,1000000,2657,0.002657,5.14775713393707e-05,0.3177,0.3177,0,1
3,3,0.002,cm,0.8,1000000,2663,0.002663,5.153550650764966e-05,0.3183,0.3183,0,1
3,3,0.002,cm,0.9,1000000,2639,0.002639,5.1303369080402505e-05,0.3181,0.3181,1,1
3,3,0.002,cm,1.0,1000000,2657,0.002657,5.14775713393707e-05,0.2362,0.2362,0,1
3,3,0.002,mwpm,,1000000,2962,0.002962,5.434359719414974e-05,0.1361,0.1361,0,0
3,3,0.004,cm,0.05,1000000,11132,0.011132,0.0001049193908484,0.8957,0.8957,0,0
3,3,0.004,cm,0.1,1000000,10861,0.010861,0.0001036486308592,0.908,0.908,0,0
3,3,0.004,cm,0.2,1000000,10562,0.010562,0.0001022274139162,0.9211,0.9211,0,0
3,3,0.004,cm,0.3,1000000,10392,0.010392,0.0001014100899121,0.9308,0.9308,0,0
3,3,0.004,cm,0.4,1000000,10259,0.010259,0.0001007658321009,0.9379,0.9379,0,0
3,3,0.004,cm,0.5,1000000,10142,0.010142,0.0001001955080629,0.9466,0.9466,0,0
3,3,0.004,cm,0.6,1000000,10110,0.01011,0.0001000389319215,0.9526,0.9526,0,0
3,3,0.004,cm,0.7,1000000,10050,0.01005,9.974466151128088e-05,0.9547,0.9547,0,0
3,3,0.004,cm,0.8,1000000,10157,0.010157,0.0001002688154462,0.6331,0.6331,0,1
3,3,0.004,cm,0.9,1000000,10141,0.010141,0.0001001906189171,0.6346,0.6346,1,1
3,3,0.004,cm,1.0,1000000,10176,0.010176,0.0001003615913783,0.4806,0.4806,0,1
3,3,0.004,mwpm,,1000000,11313,0.011313,0.0001057592361498,0.1659,0.1659,0,1
3,3,0.007,cm,0.05,1000000,31391,0.031391,0.0001743720307818,1.545,1.545,0,1
3,3,0.007,cm,0.1,1000000,31028,0.031028,0.0001733933770822,1.5456,1.5456,0,1
3,3,0.007,cm,0.2,1000000,30505,0.030505,0.0001719722215213,1.5833,1.5833,0,1
3,3,0.007,cm,0.3,1000000,30009,0.030009,0.0001706120157521,1.6069,1.6069,0,1
3,3,0.007,cm,0.4,1000000,29680,0.02968,0.0001697029687424,1.6077,1.6077,0,1
3,3,0.007,cm,0.5,1000000,29548,0.029548,0.0001693366932947,1.6381,1.6381,0,1
3,3,0.007,cm,0.6,1000000,29386,0.029386,0.0001688859467332,1.6545,1.6545,0,1
3,3,0.007,cm,0.7,1000000,29214,0.029214,0.0001684058853009,1.6565,1.6565,0,1
3,3,0.007,cm,0.8,1000000,29158,0.029158,0.0001682492527056,1.6606,1.6606,0,1
3,3,0.007,cm,0.9,1000000,29102,0.029102,0.0001680924554999,1.6654,1.6654,1,1
3,3,0.007,cm,1.0,1000000,29144,0.029144,0.0001682100688543,1.2828,1.2828,0,1
3,3,0.007,mwpm,,1000000,31444,0.031444,0.0001745143972971,0.4497,0.4497,0,1
3,3,0.01,cm,0.05,1000000,58257,0.058257,0.0002342287812182,2.1551,2.1551,0,1
