Job started at: Thu Apr 16 13:15:25 CEST 2026
Starting Run 2: Gamma=0.0 | Mismatch=1.0 | Update=1000
SLURM Mode Received: 0
Execution Pipeline: ['train']
Loaded Configuration: {'mode': 0, 'model_path': 'models/sac_gnn_36_cpu.pth', 'training_metrics_filename': 'training_metrics_36_cpu.png', 'distance': 5, 'n_rounds': 5, 'p': 0.004, 'p_gate_zz': 0.0, 'mismatch': 1.0, 'n_shots': 20000, 'burn_in_steps': 0, 'bypass_threshold': 2, 'action_scale': 3.0, 'update_period': 1000, 'prior_shots': 1000, 'local_action_only': True, 'local_action_hops': 1, 'hidden_dim': 128, 'lr': 0.0001, 'gamma': 0.0, 'tau': 0.005, 'alpha': 0.01, 'batch_size': 64, 'buffer_capacity': 100000, 'update_frequency': 100, 'train_episodes': 270, 'test_episodes': 20}

Initializing environment...

############################################################
### RUNNING MODE: TRAIN
############################################################

========================================
STARTING TRAINING (Episodes: 270)
========================================
Train Ep: 001/270 | Reward:  -90.0 | MSE: 0.0455 | C_Loss: 0.022 | A_Loss: 0.000 | Alpha: 0.0098
Train Ep: 002/270 | Reward:  -81.0 | MSE: 0.0472 | C_Loss: 0.020 | A_Loss: -0.000 | Alpha: 0.0096
Train Ep: 003/270 | Reward:  -84.0 | MSE: 0.0475 | C_Loss: 0.018 | A_Loss: -0.001 | Alpha: 0.0094
Train Ep: 004/270 | Reward:  -71.0 | MSE: 0.0436 | C_Loss: 0.017 | A_Loss: 0.001 | Alpha: 0.0092
Train Ep: 005/270 | Reward:  -80.0 | MSE: 0.0467 | C_Loss: 0.017 | A_Loss: -0.000 | Alpha: 0.0091
Train Ep: 006/270 | Reward:  -76.0 | MSE: 0.0442 | C_Loss: 0.020 | A_Loss: -0.001 | Alpha: 0.0089
Train Ep: 007/270 | Reward:  -81.0 | MSE: 0.0466 | C_Loss: 0.015 | A_Loss: -0.001 | Alpha: 0.0087
Train Ep: 008/270 | Reward:  -90.0 | MSE: 0.0401 | C_Loss: 0.017 | A_Loss: 0.000 | Alpha: 0.0086
Train Ep: 009/270 | Reward:  -82.0 | MSE: 0.0454 | C_Loss: 0.015 | A_Loss: -0.002 | Alpha: 0.0084
Train Ep: 010/270 | Reward:  -72.0 | MSE: 0.0435 | C_Loss: 0.016 | A_Loss: -0.001 | Alpha: 0.0082
Train Ep: 011/270 | Reward:  -93.0 | MSE: 0.0449 | C_Loss: 0.016 | A_Loss: -0.001 | Alpha: 0.0081
Train Ep: 012/270 | Reward:  -82.0 | MSE: 0.0481 | C_Loss: 0.017 | A_Loss: -0.000 | Alpha: 0.0079
Train Ep: 013/270 | Reward:  -73.0 | MSE: 0.0479 | C_Loss: 0.018 | A_Loss: -0.000 | Alpha: 0.0078
Train Ep: 014/270 | Reward:  -76.0 | MSE: 0.0451 | C_Loss: 0.018 | A_Loss: 0.000 | Alpha: 0.0077
Train Ep: 015/270 | Reward:  -60.0 | MSE: 0.0462 | C_Loss: 0.016 | A_Loss: -0.001 | Alpha: 0.0075
Train Ep: 016/270 | Reward:  -74.0 | MSE: 0.0468 | C_Loss: 0.018 | A_Loss: -0.001 | Alpha: 0.0074
Train Ep: 017/270 | Reward:  -69.0 | MSE: 0.0452 | C_Loss: 0.016 | A_Loss: 0.000 | Alpha: 0.0072
Train Ep: 018/270 | Reward:  -55.0 | MSE: 0.0395 | C_Loss: 0.017 | A_Loss: 0.000 | Alpha: 0.0071
Train Ep: 019/270 | Reward:  -67.0 | MSE: 0.0438 | C_Loss: 0.015 | A_Loss: -0.001 | Alpha: 0.0070
Train Ep: 020/270 | Reward:  -83.0 | MSE: 0.0478 | C_Loss: 0.015 | A_Loss: -0.001 | Alpha: 0.0069
Train Ep: 021/270 | Reward:  -68.0 | MSE: 0.0430 | C_Loss: 0.018 | A_Loss: -0.001 | Alpha: 0.0067
Train Ep: 022/270 | Reward:  -60.0 | MSE: 0.0506 | C_Loss: 0.019 | A_Loss: -0.000 | Alpha: 0.0066
Train Ep: 023/270 | Reward:  -51.0 | MSE: 0.0480 | C_Loss: 0.015 | A_Loss: -0.001 | Alpha: 0.0065
Train Ep: 024/270 | Reward:  -81.0 | MSE: 0.0440 | C_Loss: 0.017 | A_Loss: 0.000 | Alpha: 0.0064
Train Ep: 025/270 | Reward:  -84.0 | MSE: 0.0447 | C_Loss: 0.019 | A_Loss: 0.000 | Alpha: 0.0063
Train Ep: 026/270 | Reward: -101.0 | MSE: 0.0446 | C_Loss: 0.014 | A_Loss: -0.001 | Alpha: 0.0061
Train Ep: 027/270 | Reward:  -59.0 | MSE: 0.0432 | C_Loss: 0.019 | A_Loss: 0.002 | Alpha: 0.0060
Train Ep: 028/270 | Reward:  -54.0 | MSE: 0.0421 | C_Loss: 0.017 | A_Loss: 0.000 | Alpha: 0.0059
Train Ep: 029/270 | Reward:  -81.0 | MSE: 0.0443 | C_Loss: 0.019 | A_Loss: 0.002 | Alpha: 0.0058
Train Ep: 030/270 | Reward:  -79.0 | MSE: 0.0515 | C_Loss: 0.018 | A_Loss: -0.000 | Alpha: 0.0057
Train Ep: 031/270 | Reward:  -62.0 | MSE: 0.0474 | C_Loss: 0.017 | A_Loss: 0.001 | Alpha: 0.0056
Train Ep: 032/270 | Reward:  -66.0 | MSE: 0.0448 | C_Loss: 0.018 | A_Loss: 0.001 | Alpha: 0.0055
Train Ep: 033/270 | Reward:  -75.0 | MSE: 0.0442 | C_Loss: 0.017 | A_Loss: 0.001 | Alpha: 0.0054
Train Ep: 034/270 | Reward:  -64.0 | MSE: 0.0438 | C_Loss: 0.015 | A_Loss: 0.001 | Alpha: 0.0053
Train Ep: 035/270 | Reward:  -77.0 | MSE: 0.0506 | C_Loss: 0.017 | A_Loss: -0.000 | Alpha: 0.0052
Train Ep: 036/270 | Reward:  -68.0 | MSE: 0.0457 | C_Loss: 0.016 | A_Loss: 0.000 | Alpha: 0.0051
Train Ep: 037/270 | Reward:  -72.0 | MSE: 0.0480 | C_Loss: 0.013 | A_Loss: -0.001 | Alpha: 0.0050
Train Ep: 038/270 | Reward:  -48.0 | MSE: 0.0437 | C_Loss: 0.015 | A_Loss: -0.001 | Alpha: 0.0049
Train Ep: 039/270 | Reward:  -75.0 | MSE: 0.0411 | C_Loss: 0.017 | A_Loss: 0.001 | Alpha: 0.0049
Train Ep: 040/270 | Reward:  -53.0 | MSE: 0.0415 | C_Loss: 0.016 | A_Loss: 0.002 | Alpha: 0.0048
Train Ep: 041/270 | Reward:  -48.0 | MSE: 0.0464 | C_Loss: 0.016 | A_Loss: 0.001 | Alpha: 0.0047
Train Ep: 042/270 | Reward:  -55.0 | MSE: 0.0411 | C_Loss: 0.019 | A_Loss: 0.001 | Alpha: 0.0046
Train Ep: 043/270 | Reward:  -53.0 | MSE: 0.0412 | C_Loss: 0.015 | A_Loss: 0.001 | Alpha: 0.0045
Train Ep: 044/270 | Reward:  -66.0 | MSE: 0.0468 | C_Loss: 0.015 | A_Loss: -0.001 | Alpha: 0.0044
Train Ep: 045/270 | Reward:  -58.0 | MSE: 0.0480 | C_Loss: 0.013 | A_Loss: 0.001 | Alpha: 0.0044
Train Ep: 046/270 | Reward:  -37.0 | MSE: 0.0512 | C_Loss: 0.015 | A_Loss: -0.001 | Alpha: 0.0043
Train Ep: 047/270 | Reward:  -44.0 | MSE: 0.0441 | C_Loss: 0.014 | A_Loss: 0.001 | Alpha: 0.0042
Train Ep: 048/270 | Reward:  -64.0 | MSE: 0.0444 | C_Loss: 0.013 | A_Loss: -0.001 | Alpha: 0.0041
Train Ep: 049/270 | Reward:  -58.0 | MSE: 0.0469 | C_Loss: 0.016 | A_Loss: 0.000 | Alpha: 0.0041
Train Ep: 050/270 | Reward:  -58.0 | MSE: 0.0494 | C_Loss: 0.014 | A_Loss: 0.001 | Alpha: 0.0040
Train Ep: 051/270 | Reward:  -53.0 | MSE: 0.0466 | C_Loss: 0.015 | A_Loss: 0.001 | Alpha: 0.0039
Train Ep: 052/270 | Reward:  -56.0 | MSE: 0.0438 | C_Loss: 0.014 | A_Loss: -0.001 | Alpha: 0.0038
Train Ep: 053/270 | Reward:  -70.0 | MSE: 0.0457 | C_Loss: 0.014 | A_Loss: 0.000 | Alpha: 0.0038
Train Ep: 054/270 | Reward:  -45.0 | MSE: 0.0438 | C_Loss: 0.014 | A_Loss: 0.001 | Alpha: 0.0037
Train Ep: 055/270 | Reward:  -41.0 | MSE: 0.0423 | C_Loss: 0.014 | A_Loss: 0.000 | Alpha: 0.0036
Train Ep: 056/270 | Reward:  -64.0 | MSE: 0.0496 | C_Loss: 0.014 | A_Loss: 0.000 | Alpha: 0.0036
Train Ep: 057/270 | Reward:  -71.0 | MSE: 0.0414 | C_Loss: 0.015 | A_Loss: 0.001 | Alpha: 0.0035
Train Ep: 058/270 | Reward:  -43.0 | MSE: 0.0513 | C_Loss: 0.014 | A_Loss: 0.000 | Alpha: 0.0034
Train Ep: 059/270 | Reward:  -45.0 | MSE: 0.0408 | C_Loss: 0.015 | A_Loss: 0.001 | Alpha: 0.0034
Train Ep: 060/270 | Reward:  -32.0 | MSE: 0.0481 | C_Loss: 0.015 | A_Loss: 0.001 | Alpha: 0.0033
Train Ep: 061/270 | Reward:  -46.0 | MSE: 0.0453 | C_Loss: 0.014 | A_Loss: 0.002 | Alpha: 0.0033
Train Ep: 062/270 | Reward:  -59.0 | MSE: 0.0421 | C_Loss: 0.014 | A_Loss: 0.000 | Alpha: 0.0032
Train Ep: 063/270 | Reward:  -61.0 | MSE: 0.0445 | C_Loss: 0.015 | A_Loss: 0.001 | Alpha: 0.0031
Train Ep: 064/270 | Reward:  -81.0 | MSE: 0.0605 | C_Loss: 0.015 | A_Loss: 0.001 | Alpha: 0.0031
Train Ep: 065/270 | Reward:  -58.0 | MSE: 0.0378 | C_Loss: 0.016 | A_Loss: 0.002 | Alpha: 0.0030
Train Ep: 066/270 | Reward:  -65.0 | MSE: 0.0448 | C_Loss: 0.012 | A_Loss: 0.001 | Alpha: 0.0030
Train Ep: 067/270 | Reward:  -63.0 | MSE: 0.0445 | C_Loss: 0.015 | A_Loss: 0.003 | Alpha: 0.0029
Train Ep: 068/270 | Reward:  -37.0 | MSE: 0.0471 | C_Loss: 0.016 | A_Loss: 0.002 | Alpha: 0.0029
Train Ep: 069/270 | Reward:  -48.0 | MSE: 0.0505 | C_Loss: 0.015 | A_Loss: 0.002 | Alpha: 0.0028
Train Ep: 070/270 | Reward:  -64.0 | MSE: 0.0499 | C_Loss: 0.014 | A_Loss: 0.002 | Alpha: 0.0028
Train Ep: 071/270 | Reward:  -32.0 | MSE: 0.0446 | C_Loss: 0.014 | A_Loss: 0.002 | Alpha: 0.0027
Train Ep: 072/270 | Reward:  -31.0 | MSE: 0.0439 | C_Loss: 0.015 | A_Loss: 0.001 | Alpha: 0.0027
Train Ep: 073/270 | Reward:  -42.0 | MSE: 0.0477 | C_Loss: 0.013 | A_Loss: 0.001 | Alpha: 0.0026
Train Ep: 074/270 | Reward:  -44.0 | MSE: 0.0467 | C_Loss: 0.010 | A_Loss: 0.000 | Alpha: 0.0026
