Job started at: Mon Apr 27 11:06:09 CEST 2026
Starting Run 50: Gamma=0.99 | Layers=1 | Mismatch=30.0 | action_scale=5 | Using P.C.
SLURM Mode Received: 0
Execution Pipeline: ['train']
Loaded Configuration: {'mode': 0, 'model_path': 'models/sac_gnn_50.pth', 'training_metrics_filename': 'training_metrics_50.png', 'distance': 5, 'n_rounds': 5, 'p': 0.004, 'p_gate_zz': 0.0, 'mismatch': 30.0, 'n_shots': 65000, 'n_test_shots': 10000, 'burn_in_steps': 15000, 'bypass_threshold': 2, 'action_scale': 5.0, 'update_period': 100, 'prior_shots': 1000, 'local_action_only': True, 'local_action_hops': 1, 'n_layers': 1, 'use_pearson_correlation': True, 'use_log_joint_prob': False, 'hidden_dim': 256, 'lr': 0.0001, 'gamma': 0.99, 'tau': 0.005, 'alpha': 0.01, 'batch_size': 64, 'buffer_capacity': 100000, 'update_frequency': 100, 'train_episodes': 350, 'test_episodes': 20}

Initializing environment...

############################################################
### RUNNING MODE: TRAIN
############################################################

========================================
STARTING TRAINING (Episodes: 350)
========================================
Train Ep: 001/350 | Reward: -893.0 | MSE: 0.2668 | C_Loss: 0.093 | A_Loss: 0.016 | Alpha: 0.0095
Train Ep: 002/350 | Reward: -358.0 | MSE: 0.2910 | C_Loss: 0.071 | A_Loss: 0.032 | Alpha: 0.0091
Train Ep: 003/350 | Reward: -158.0 | MSE: 0.2746 | C_Loss: 0.054 | A_Loss: 0.039 | Alpha: 0.0087
Train Ep: 004/350 | Reward: -105.0 | MSE: 0.2865 | C_Loss: 0.042 | A_Loss: 0.039 | Alpha: 0.0083
Train Ep: 005/350 | Reward: -104.0 | MSE: 0.3034 | C_Loss: 0.027 | A_Loss: 0.033 | Alpha: 0.0079
Train Ep: 006/350 | Reward:  -76.0 | MSE: 0.2783 | C_Loss: 0.021 | A_Loss: 0.030 | Alpha: 0.0076
Train Ep: 007/350 | Reward:  -17.0 | MSE: 0.2146 | C_Loss: 0.025 | A_Loss: 0.023 | Alpha: 0.0072
Train Ep: 008/350 | Reward: -119.0 | MSE: 0.3138 | C_Loss: 0.025 | A_Loss: 0.014 | Alpha: 0.0069
Train Ep: 009/350 | Reward:  -46.0 | MSE: 0.3579 | C_Loss: 0.023 | A_Loss: 0.008 | Alpha: 0.0066
Train Ep: 010/350 | Reward: -173.0 | MSE: 0.4117 | C_Loss: 0.023 | A_Loss: 0.004 | Alpha: 0.0063
Train Ep: 011/350 | Reward: -205.0 | MSE: 0.2435 | C_Loss: 0.026 | A_Loss: 0.002 | Alpha: 0.0060
Train Ep: 012/350 | Reward: -168.0 | MSE: 0.2974 | C_Loss: 0.032 | A_Loss: 0.002 | Alpha: 0.0057
Train Ep: 013/350 | Reward: -183.0 | MSE: 0.2722 | C_Loss: 0.034 | A_Loss: 0.002 | Alpha: 0.0055
Train Ep: 014/350 | Reward: -262.0 | MSE: 0.4168 | C_Loss: 0.041 | A_Loss: 0.004 | Alpha: 0.0052
Train Ep: 015/350 | Reward: -182.0 | MSE: 0.3835 | C_Loss: 0.045 | A_Loss: 0.010 | Alpha: 0.0050
Train Ep: 016/350 | Reward: -225.0 | MSE: 0.1831 | C_Loss: 0.037 | A_Loss: 0.010 | Alpha: 0.0048
Train Ep: 017/350 | Reward: -129.0 | MSE: 0.3358 | C_Loss: 0.029 | A_Loss: 0.013 | Alpha: 0.0046
Train Ep: 018/350 | Reward:  -87.0 | MSE: 0.3086 | C_Loss: 0.027 | A_Loss: 0.013 | Alpha: 0.0044
Train Ep: 019/350 | Reward: -149.0 | MSE: 0.2550 | C_Loss: 0.027 | A_Loss: 0.013 | Alpha: 0.0042
Train Ep: 020/350 | Reward:  -78.0 | MSE: 0.4500 | C_Loss: 0.026 | A_Loss: 0.012 | Alpha: 0.0040
Train Ep: 021/350 | Reward:  -87.0 | MSE: 0.3033 | C_Loss: 0.025 | A_Loss: 0.013 | Alpha: 0.0038
Train Ep: 022/350 | Reward: -108.0 | MSE: 0.3484 | C_Loss: 0.022 | A_Loss: 0.014 | Alpha: 0.0036
Train Ep: 023/350 | Reward:  -85.0 | MSE: 0.4432 | C_Loss: 0.023 | A_Loss: 0.014 | Alpha: 0.0035
Train Ep: 024/350 | Reward:  -71.0 | MSE: 0.2379 | C_Loss: 0.021 | A_Loss: 0.011 | Alpha: 0.0033
