Job started at: Wed Apr 29 21:19:29 CEST 2026
Starting Run 53: 500 eps | No burn-in | Gamma=0.99 | Layers=1 | Mismatch=30.0 | action_scale=5 | Using P.C.
SLURM Mode Received: 0
Execution Pipeline: ['train']
Loaded Configuration: {'mode': 0, 'model_path': 'models/sac_gnn_53.pth', 'training_metrics_filename': 'training_metrics_53.png', 'distance': 5, 'n_rounds': 5, 'p': 0.004, 'p_gate_zz': 0.0, 'mismatch': 30.0, 'n_shots': 50000, 'n_test_shots': 10000, 'burn_in_steps': 0, 'bypass_threshold': 2, 'action_scale': 5.0, 'update_period': 100, 'prior_shots': 1000, 'local_action_only': True, 'local_action_hops': 1, 'n_layers': 1, 'use_pearson_correlation': True, 'use_log_joint_prob': False, 'hidden_dim': 256, 'lr': 0.0001, 'gamma': 0.99, 'tau': 0.005, 'alpha': 0.01, 'batch_size': 64, 'buffer_capacity': 100000, 'update_frequency': 100, 'train_episodes': 500, 'test_episodes': 20}

Initializing environment...

############################################################
### RUNNING MODE: TRAIN
############################################################

========================================
STARTING TRAINING (Episodes: 500)
========================================
Train Ep: 001/500 | Reward: -830.0 | MSE: 0.2127 | C_Loss: 0.080 | A_Loss: 0.075 | Alpha: 0.0095
Train Ep: 002/500 | Reward: -248.0 | MSE: 0.3807 | C_Loss: 0.058 | A_Loss: 0.086 | Alpha: 0.0091
Train Ep: 003/500 | Reward: -547.0 | MSE: 0.8491 | C_Loss: 0.058 | A_Loss: 0.092 | Alpha: 0.0087
Train Ep: 004/500 | Reward:  -55.0 | MSE: 0.2805 | C_Loss: 0.049 | A_Loss: 0.094 | Alpha: 0.0083
Train Ep: 005/500 | Reward:  -16.0 | MSE: 0.3824 | C_Loss: 0.023 | A_Loss: 0.086 | Alpha: 0.0080
Train Ep: 006/500 | Reward:    0.0 | MSE: 0.3662 | C_Loss: 0.005 | A_Loss: 0.077 | Alpha: 0.0076
Train Ep: 007/500 | Reward:  -19.0 | MSE: 0.2994 | C_Loss: 0.005 | A_Loss: 0.069 | Alpha: 0.0072
Train Ep: 008/500 | Reward:  -72.0 | MSE: 0.2521 | C_Loss: 0.008 | A_Loss: 0.060 | Alpha: 0.0069
Train Ep: 009/500 | Reward:  -51.0 | MSE: 0.3041 | C_Loss: 0.011 | A_Loss: 0.051 | Alpha: 0.0066
Train Ep: 010/500 | Reward: -139.0 | MSE: 0.3681 | C_Loss: 0.017 | A_Loss: 0.047 | Alpha: 0.0063
Train Ep: 011/500 | Reward: -189.0 | MSE: 0.2790 | C_Loss: 0.025 | A_Loss: 0.042 | Alpha: 0.0060
Train Ep: 012/500 | Reward: -280.0 | MSE: 0.4828 | C_Loss: 0.034 | A_Loss: 0.041 | Alpha: 0.0057
Train Ep: 013/500 | Reward: -126.0 | MSE: 0.4324 | C_Loss: 0.037 | A_Loss: 0.042 | Alpha: 0.0055
Train Ep: 014/500 | Reward: -163.0 | MSE: 0.4310 | C_Loss: 0.035 | A_Loss: 0.043 | Alpha: 0.0052
Train Ep: 015/500 | Reward: -129.0 | MSE: 0.4244 | C_Loss: 0.028 | A_Loss: 0.041 | Alpha: 0.0050
Train Ep: 016/500 | Reward: -155.0 | MSE: 0.2852 | C_Loss: 0.027 | A_Loss: 0.040 | Alpha: 0.0048
Train Ep: 017/500 | Reward: -267.0 | MSE: 0.3931 | C_Loss: 0.030 | A_Loss: 0.040 | Alpha: 0.0046
Train Ep: 018/500 | Reward:  -81.0 | MSE: 0.3378 | C_Loss: 0.030 | A_Loss: 0.042 | Alpha: 0.0044
Train Ep: 019/500 | Reward: -154.0 | MSE: 0.4695 | C_Loss: 0.028 | A_Loss: 0.044 | Alpha: 0.0042
Train Ep: 020/500 | Reward: -114.0 | MSE: 0.3162 | C_Loss: 0.021 | A_Loss: 0.044 | Alpha: 0.0040
Train Ep: 021/500 | Reward: -146.0 | MSE: 0.4174 | C_Loss: 0.021 | A_Loss: 0.044 | Alpha: 0.0038
Train Ep: 022/500 | Reward: -201.0 | MSE: 0.2769 | C_Loss: 0.026 | A_Loss: 0.042 | Alpha: 0.0036
Train Ep: 023/500 | Reward: -264.0 | MSE: 0.3933 | C_Loss: 0.032 | A_Loss: 0.045 | Alpha: 0.0035
Train Ep: 024/500 | Reward: -147.0 | MSE: 0.5122 | C_Loss: 0.036 | A_Loss: 0.051 | Alpha: 0.0033
Train Ep: 025/500 | Reward: -149.0 | MSE: 0.3513 | C_Loss: 0.033 | A_Loss: 0.052 | Alpha: 0.0032
Train Ep: 026/500 | Reward: -132.0 | MSE: 0.4614 | C_Loss: 0.028 | A_Loss: 0.055 | Alpha: 0.0030
Train Ep: 027/500 | Reward: -117.0 | MSE: 0.3422 | C_Loss: 0.027 | A_Loss: 0.054 | Alpha: 0.0029
Train Ep: 028/500 | Reward:  -88.0 | MSE: 0.3632 | C_Loss: 0.024 | A_Loss: 0.054 | Alpha: 0.0028
