Job started at: Fri May  1 14:37:38 CEST 2026
Starting Run 55: Burn-in | Gamma=0.0 | Layers=1 | Mismatch=30.0 | action_scale=5 | Using P.C. | lr=1e-4 | bs=64
SLURM Mode Received: 0
Execution Pipeline: ['train']
Loaded Configuration: {'mode': 0, 'model_path': 'models/sac_gnn_55.pth', 'training_metrics_filename': 'training_metrics_55.png', 'distance': 5, 'n_rounds': 5, 'p': 0.004, 'p_gate_zz': 0.0, 'mismatch': 30.0, 'n_shots': 65000, 'n_test_shots': 10000, 'burn_in_steps': 15000, 'bypass_threshold': 2, 'action_scale': 5.0, 'update_period': 1000, 'prior_shots': 1000, 'local_action_only': True, 'local_action_hops': 1, 'n_layers': 1, 'use_pearson_correlation': True, 'use_log_joint_prob': False, 'hidden_dim': 256, 'lr': 0.0001, 'gamma': 0.0, 'tau': 0.005, 'alpha': 0.01, 'batch_size': 64, 'buffer_capacity': 100000, 'update_frequency': 100, 'train_episodes': 300, 'test_episodes': 20}

Initializing environment...

############################################################
### RUNNING MODE: TRAIN
############################################################

========================================
STARTING TRAINING (Episodes: 300)
========================================
Train Ep: 001/300 | Reward: -1217.0 | MSE: 0.1718 | C_Loss: 0.113 | A_Loss: 0.023 | Alpha: 0.0095
Train Ep: 002/300 | Reward: -794.0 | MSE: 0.1380 | C_Loss: 0.097 | A_Loss: 0.015 | Alpha: 0.0091
Train Ep: 003/300 | Reward: -350.0 | MSE: 0.1638 | C_Loss: 0.085 | A_Loss: 0.009 | Alpha: 0.0087
Train Ep: 004/300 | Reward:  -32.0 | MSE: 0.1650 | C_Loss: 0.057 | A_Loss: 0.001 | Alpha: 0.0083
Train Ep: 005/300 | Reward:  -86.0 | MSE: 0.2436 | C_Loss: 0.024 | A_Loss: -0.001 | Alpha: 0.0079
Train Ep: 006/300 | Reward:  -28.0 | MSE: 0.2995 | C_Loss: 0.012 | A_Loss: -0.002 | Alpha: 0.0076
Train Ep: 007/300 | Reward:  -96.0 | MSE: 0.2078 | C_Loss: 0.012 | A_Loss: -0.002 | Alpha: 0.0072
Train Ep: 008/300 | Reward:  -89.0 | MSE: 0.2032 | C_Loss: 0.015 | A_Loss: -0.002 | Alpha: 0.0069
Train Ep: 009/300 | Reward:  -71.0 | MSE: 0.2606 | C_Loss: 0.022 | A_Loss: -0.001 | Alpha: 0.0066
Train Ep: 010/300 | Reward:  -64.0 | MSE: 0.0727 | C_Loss: 0.020 | A_Loss: -0.002 | Alpha: 0.0063
Train Ep: 011/300 | Reward: -143.0 | MSE: 0.2198 | C_Loss: 0.022 | A_Loss: -0.002 | Alpha: 0.0060
Train Ep: 012/300 | Reward:  -86.0 | MSE: 0.2044 | C_Loss: 0.022 | A_Loss: -0.002 | Alpha: 0.0057
Train Ep: 013/300 | Reward:  -64.0 | MSE: 0.2435 | C_Loss: 0.021 | A_Loss: -0.002 | Alpha: 0.0055
Train Ep: 014/300 | Reward:  -29.0 | MSE: 0.1369 | C_Loss: 0.017 | A_Loss: -0.002 | Alpha: 0.0052
Train Ep: 015/300 | Reward:  -98.0 | MSE: 0.1946 | C_Loss: 0.018 | A_Loss: -0.002 | Alpha: 0.0050
Train Ep: 016/300 | Reward:  -84.0 | MSE: 0.1807 | C_Loss: 0.025 | A_Loss: -0.001 | Alpha: 0.0048
Train Ep: 017/300 | Reward: -124.0 | MSE: 0.1787 | C_Loss: 0.027 | A_Loss: 0.000 | Alpha: 0.0046
Train Ep: 018/300 | Reward:  -43.0 | MSE: 0.2237 | C_Loss: 0.029 | A_Loss: -0.001 | Alpha: 0.0044
Train Ep: 019/300 | Reward: -262.0 | MSE: 0.1644 | C_Loss: 0.036 | A_Loss: -0.001 | Alpha: 0.0042
Train Ep: 020/300 | Reward: -205.0 | MSE: 0.1266 | C_Loss: 0.040 | A_Loss: 0.002 | Alpha: 0.0040
Train Ep: 021/300 | Reward: -167.0 | MSE: 0.1437 | C_Loss: 0.035 | A_Loss: 0.001 | Alpha: 0.0038
Train Ep: 022/300 | Reward: -172.0 | MSE: 0.1985 | C_Loss: 0.029 | A_Loss: 0.001 | Alpha: 0.0036
Train Ep: 023/300 | Reward:  -92.0 | MSE: 0.2567 | C_Loss: 0.030 | A_Loss: 0.001 | Alpha: 0.0035
Train Ep: 024/300 | Reward:  -19.0 | MSE: 0.1476 | C_Loss: 0.029 | A_Loss: 0.000 | Alpha: 0.0033
Train Ep: 025/300 | Reward: -130.0 | MSE: 0.1262 | C_Loss: 0.029 | A_Loss: -0.001 | Alpha: 0.0032
Train Ep: 026/300 | Reward:  -82.0 | MSE: 0.1559 | C_Loss: 0.029 | A_Loss: -0.001 | Alpha: 0.0030
Train Ep: 027/300 | Reward:  -80.0 | MSE: 0.2726 | C_Loss: 0.029 | A_Loss: -0.000 | Alpha: 0.0029
Train Ep: 028/300 | Reward:  -93.0 | MSE: 0.1810 | C_Loss: 0.021 | A_Loss: 0.001 | Alpha: 0.0028
Train Ep: 029/300 | Reward: -119.0 | MSE: 0.2784 | C_Loss: 0.022 | A_Loss: -0.000 | Alpha: 0.0027
Train Ep: 030/300 | Reward:  -95.0 | MSE: 0.2556 | C_Loss: 0.027 | A_Loss: -0.000 | Alpha: 0.0025
Train Ep: 031/300 | Reward: -160.0 | MSE: 0.2778 | C_Loss: 0.027 | A_Loss: 0.001 | Alpha: 0.0024
Train Ep: 032/300 | Reward:  -69.0 | MSE: 0.3492 | C_Loss: 0.028 | A_Loss: 0.002 | Alpha: 0.0023
Train Ep: 033/300 | Reward:  -50.0 | MSE: 0.1481 | C_Loss: 0.022 | A_Loss: 0.001 | Alpha: 0.0022
Train Ep: 034/300 | Reward:  -87.0 | MSE: 0.1709 | C_Loss: 0.019 | A_Loss: 0.000 | Alpha: 0.0021
Train Ep: 035/300 | Reward:   -5.0 | MSE: 0.1289 | C_Loss: 0.017 | A_Loss: -0.000 | Alpha: 0.0020
Train Ep: 036/300 | Reward:  -18.0 | MSE: 0.2745 | C_Loss: 0.015 | A_Loss: -0.001 | Alpha: 0.0019
Train Ep: 037/300 | Reward:  -71.0 | MSE: 0.1670 | C_Loss: 0.016 | A_Loss: -0.001 | Alpha: 0.0019
Train Ep: 038/300 | Reward:  -28.0 | MSE: 0.2526 | C_Loss: 0.018 | A_Loss: -0.001 | Alpha: 0.0018
Train Ep: 039/300 | Reward:  -25.0 | MSE: 0.2902 | C_Loss: 0.017 | A_Loss: -0.000 | Alpha: 0.0017
Train Ep: 040/300 | Reward: -103.0 | MSE: 0.2602 | C_Loss: 0.015 | A_Loss: 0.001 | Alpha: 0.0016
Train Ep: 041/300 | Reward:   15.0 | MSE: 0.2292 | C_Loss: 0.016 | A_Loss: 0.001 | Alpha: 0.0015
Train Ep: 042/300 | Reward:   -4.0 | MSE: 0.2216 | C_Loss: 0.018 | A_Loss: -0.000 | Alpha: 0.0015
Train Ep: 043/300 | Reward:  -56.0 | MSE: 0.1925 | C_Loss: 0.022 | A_Loss: -0.000 | Alpha: 0.0014
Train Ep: 044/300 | Reward:  -78.0 | MSE: 0.2356 | C_Loss: 0.022 | A_Loss: 0.001 | Alpha: 0.0014
Train Ep: 045/300 | Reward:  -24.0 | MSE: 0.2556 | C_Loss: 0.019 | A_Loss: -0.000 | Alpha: 0.0013
Train Ep: 046/300 | Reward:  -28.0 | MSE: 0.1763 | C_Loss: 0.015 | A_Loss: -0.000 | Alpha: 0.0012
Train Ep: 047/300 | Reward:  -13.0 | MSE: 0.1510 | C_Loss: 0.014 | A_Loss: -0.000 | Alpha: 0.0012
Train Ep: 048/300 | Reward:    9.0 | MSE: 0.1849 | C_Loss: 0.013 | A_Loss: 0.000 | Alpha: 0.0011
Train Ep: 049/300 | Reward:  -15.0 | MSE: 0.2026 | C_Loss: 0.011 | A_Loss: -0.001 | Alpha: 0.0011
Train Ep: 050/300 | Reward:  -11.0 | MSE: 0.1840 | C_Loss: 0.016 | A_Loss: 0.000 | Alpha: 0.0010
Train Ep: 051/300 | Reward:  -76.0 | MSE: 0.1810 | C_Loss: 0.022 | A_Loss: -0.000 | Alpha: 0.0010
Train Ep: 052/300 | Reward:   -8.0 | MSE: 0.1947 | C_Loss: 0.022 | A_Loss: 0.001 | Alpha: 0.0009
Train Ep: 053/300 | Reward:  -14.0 | MSE: 0.1495 | C_Loss: 0.018 | A_Loss: -0.000 | Alpha: 0.0009
Train Ep: 054/300 | Reward:   -9.0 | MSE: 0.1809 | C_Loss: 0.014 | A_Loss: -0.000 | Alpha: 0.0009
Train Ep: 055/300 | Reward:   10.0 | MSE: 0.1879 | C_Loss: 0.012 | A_Loss: 0.001 | Alpha: 0.0008
Train Ep: 056/300 | Reward:  -10.0 | MSE: 0.2526 | C_Loss: 0.009 | A_Loss: -0.000 | Alpha: 0.0008
Train Ep: 057/300 | Reward:    3.0 | MSE: 0.2753 | C_Loss: 0.012 | A_Loss: -0.001 | Alpha: 0.0008
Train Ep: 058/300 | Reward:    0.0 | MSE: 0.2373 | C_Loss: 0.008 | A_Loss: 0.000 | Alpha: 0.0007
Train Ep: 059/300 | Reward:  -11.0 | MSE: 0.2261 | C_Loss: 0.008 | A_Loss: -0.000 | Alpha: 0.0007
Train Ep: 060/300 | Reward:   27.0 | MSE: 0.2452 | C_Loss: 0.008 | A_Loss: -0.000 | Alpha: 0.0007
Train Ep: 061/300 | Reward:  -25.0 | MSE: 0.2704 | C_Loss: 0.009 | A_Loss: -0.000 | Alpha: 0.0006
Train Ep: 062/300 | Reward:  -24.0 | MSE: 0.2253 | C_Loss: 0.013 | A_Loss: -0.000 | Alpha: 0.0006
Train Ep: 063/300 | Reward:  -48.0 | MSE: 0.3035 | C_Loss: 0.014 | A_Loss: 0.000 | Alpha: 0.0006
Train Ep: 064/300 | Reward:  -12.0 | MSE: 0.1926 | C_Loss: 0.011 | A_Loss: -0.000 | Alpha: 0.0005
Train Ep: 065/300 | Reward:    7.0 | MSE: 0.2444 | C_Loss: 0.009 | A_Loss: 0.001 | Alpha: 0.0005
Train Ep: 066/300 | Reward:   11.0 | MSE: 0.2024 | C_Loss: 0.006 | A_Loss: 0.000 | Alpha: 0.0005
Train Ep: 067/300 | Reward:   13.0 | MSE: 0.2996 | C_Loss: 0.003 | A_Loss: -0.000 | Alpha: 0.0005
Train Ep: 068/300 | Reward:    3.0 | MSE: 0.2080 | C_Loss: 0.002 | A_Loss: -0.000 | Alpha: 0.0005
Train Ep: 069/300 | Reward:   15.0 | MSE: 0.2867 | C_Loss: 0.002 | A_Loss: -0.000 | Alpha: 0.0004
Train Ep: 070/300 | Reward:   20.0 | MSE: 0.1784 | C_Loss: 0.003 | A_Loss: -0.000 | Alpha: 0.0004
Train Ep: 071/300 | Reward:   27.0 | MSE: 0.1912 | C_Loss: 0.004 | A_Loss: -0.000 | Alpha: 0.0004
Train Ep: 072/300 | Reward:   25.0 | MSE: 0.1666 | C_Loss: 0.006 | A_Loss: -0.001 | Alpha: 0.0004
Train Ep: 073/300 | Reward:  -14.0 | MSE: 0.3250 | C_Loss: 0.008 | A_Loss: -0.000 | Alpha: 0.0004
