Job started at: Sat May  2 12:08:34 CEST 2026
Starting Run 57: Burn-in | Gamma=0.0 | Layers=1 | Mismatch=30.0 | action_scale=5 | Using P.C. | lr=1e-4 | bs=256
SLURM Mode Received: 0
Execution Pipeline: ['train']
Loaded Configuration: {'mode': 0, 'model_path': 'models/sac_gnn_57.pth', 'training_metrics_filename': 'training_metrics_57.png', 'distance': 5, 'n_rounds': 5, 'p': 0.004, 'p_gate_zz': 0.0, 'mismatch': 30.0, 'n_shots': 65000, 'n_test_shots': 10000, 'burn_in_steps': 15000, 'bypass_threshold': 2, 'action_scale': 5.0, 'update_period': 1000, 'prior_shots': 1000, 'local_action_only': True, 'local_action_hops': 1, 'n_layers': 1, 'use_pearson_correlation': True, 'use_log_joint_prob': False, 'hidden_dim': 256, 'lr': 0.0001, 'gamma': 0.0, 'tau': 0.005, 'alpha': 0.01, 'batch_size': 256, 'buffer_capacity': 100000, 'update_frequency': 100, 'train_episodes': 300, 'test_episodes': 20}

Initializing environment...

############################################################
### RUNNING MODE: TRAIN
############################################################

========================================
STARTING TRAINING (Episodes: 300)
========================================
Train Ep: 001/300 | Reward: -968.0 | MSE: 0.1362 | C_Loss: 0.105 | A_Loss: 0.021 | Alpha: 0.0095
Train Ep: 002/300 | Reward: -431.0 | MSE: 0.1129 | C_Loss: 0.079 | A_Loss: 0.007 | Alpha: 0.0091
Train Ep: 003/300 | Reward: -126.0 | MSE: 0.2312 | C_Loss: 0.057 | A_Loss: 0.004 | Alpha: 0.0087
Train Ep: 004/300 | Reward:  -25.0 | MSE: 0.2655 | C_Loss: 0.029 | A_Loss: -0.002 | Alpha: 0.0083
Train Ep: 005/300 | Reward:   38.0 | MSE: 0.1435 | C_Loss: 0.012 | A_Loss: -0.003 | Alpha: 0.0079
Train Ep: 006/300 | Reward:  -77.0 | MSE: 0.1836 | C_Loss: 0.016 | A_Loss: -0.003 | Alpha: 0.0076
Train Ep: 007/300 | Reward:  -21.0 | MSE: 0.2908 | C_Loss: 0.020 | A_Loss: -0.003 | Alpha: 0.0072
Train Ep: 008/300 | Reward:  -54.0 | MSE: 0.1329 | C_Loss: 0.016 | A_Loss: -0.002 | Alpha: 0.0069
Train Ep: 009/300 | Reward: -107.0 | MSE: 0.1222 | C_Loss: 0.014 | A_Loss: -0.002 | Alpha: 0.0066
Train Ep: 010/300 | Reward:  -66.0 | MSE: 0.2628 | C_Loss: 0.017 | A_Loss: -0.001 | Alpha: 0.0063
Train Ep: 011/300 | Reward:  -88.0 | MSE: 0.1963 | C_Loss: 0.019 | A_Loss: -0.001 | Alpha: 0.0060
Train Ep: 012/300 | Reward: -104.0 | MSE: 0.1843 | C_Loss: 0.021 | A_Loss: -0.001 | Alpha: 0.0057
Train Ep: 013/300 | Reward:  -35.0 | MSE: 0.3114 | C_Loss: 0.018 | A_Loss: -0.001 | Alpha: 0.0055
Train Ep: 014/300 | Reward:    1.0 | MSE: 0.1637 | C_Loss: 0.013 | A_Loss: -0.002 | Alpha: 0.0052
Train Ep: 015/300 | Reward:  -72.0 | MSE: 0.2706 | C_Loss: 0.018 | A_Loss: -0.002 | Alpha: 0.0050
Train Ep: 016/300 | Reward:  -74.0 | MSE: 0.2515 | C_Loss: 0.021 | A_Loss: -0.002 | Alpha: 0.0048
Train Ep: 017/300 | Reward: -158.0 | MSE: 0.2385 | C_Loss: 0.022 | A_Loss: -0.001 | Alpha: 0.0046
Train Ep: 018/300 | Reward:  -69.0 | MSE: 0.2855 | C_Loss: 0.023 | A_Loss: 0.000 | Alpha: 0.0044
Train Ep: 019/300 | Reward:  -57.0 | MSE: 0.2495 | C_Loss: 0.024 | A_Loss: -0.000 | Alpha: 0.0042
Train Ep: 020/300 | Reward:  -45.0 | MSE: 0.1586 | C_Loss: 0.019 | A_Loss: -0.001 | Alpha: 0.0040
Train Ep: 021/300 | Reward:  -78.0 | MSE: 0.2286 | C_Loss: 0.013 | A_Loss: -0.001 | Alpha: 0.0038
Train Ep: 022/300 | Reward:  -14.0 | MSE: 0.1694 | C_Loss: 0.011 | A_Loss: -0.001 | Alpha: 0.0036
Train Ep: 023/300 | Reward:  -36.0 | MSE: 0.1464 | C_Loss: 0.012 | A_Loss: -0.001 | Alpha: 0.0035
Train Ep: 024/300 | Reward:  -22.0 | MSE: 0.1053 | C_Loss: 0.014 | A_Loss: -0.001 | Alpha: 0.0033
Train Ep: 025/300 | Reward:   13.0 | MSE: 0.1476 | C_Loss: 0.014 | A_Loss: -0.001 | Alpha: 0.0032
Train Ep: 026/300 | Reward:  -19.0 | MSE: 0.1538 | C_Loss: 0.013 | A_Loss: -0.001 | Alpha: 0.0030
Train Ep: 027/300 | Reward:  -28.0 | MSE: 0.2238 | C_Loss: 0.011 | A_Loss: -0.001 | Alpha: 0.0029
Train Ep: 028/300 | Reward:  -37.0 | MSE: 0.1504 | C_Loss: 0.011 | A_Loss: -0.001 | Alpha: 0.0028
Train Ep: 029/300 | Reward:  -63.0 | MSE: 0.1899 | C_Loss: 0.011 | A_Loss: -0.000 | Alpha: 0.0027
Train Ep: 030/300 | Reward:  -96.0 | MSE: 0.2926 | C_Loss: 0.017 | A_Loss: -0.000 | Alpha: 0.0025
Train Ep: 031/300 | Reward:  -99.0 | MSE: 0.1984 | C_Loss: 0.025 | A_Loss: 0.000 | Alpha: 0.0024
Train Ep: 032/300 | Reward:  -36.0 | MSE: 0.2749 | C_Loss: 0.026 | A_Loss: 0.001 | Alpha: 0.0023
