Job started at: Sat May  2 15:50:40 CEST 2026
Starting Run 59: Burn-in | Gamma=0.0 | Layers=1 | M=30.0 | action_scale=5 | P.C. | lr=1e-4 | bs=128 | te=-2
SLURM Mode Received: 0
Execution Pipeline: ['train']
Loaded Configuration: {'mode': 0, 'model_path': 'models/sac_gnn_59.pth', 'training_metrics_filename': 'training_metrics_59.png', 'distance': 5, 'n_rounds': 5, 'p': 0.004, 'p_gate_zz': 0.0, 'mismatch': 30.0, 'n_shots': 65000, 'n_test_shots': 10000, 'burn_in_steps': 15000, 'bypass_threshold': 2, 'action_scale': 5.0, 'update_period': 1000, 'prior_shots': 1000, 'local_action_only': True, 'local_action_hops': 1, 'n_layers': 1, 'use_pearson_correlation': True, 'use_log_joint_prob': False, 'hidden_dim': 256, 'lr': 0.0001, 'gamma': 0.0, 'tau': 0.005, 'alpha': 0.01, 'target_entropy': -2.0, 'batch_size': 128, 'buffer_capacity': 100000, 'update_frequency': 100, 'train_episodes': 300, 'test_episodes': 20}

Initializing environment...

############################################################
### RUNNING MODE: TRAIN
############################################################

========================================
STARTING TRAINING (Episodes: 300)
========================================
Train Ep: 001/300 | Reward: -801.0 | MSE: 0.1870 | C_Loss: 0.086 | A_Loss: 0.018 | Alpha: 0.0095
Train Ep: 002/300 | Reward:  -59.0 | MSE: 0.2610 | C_Loss: 0.053 | A_Loss: 0.004 | Alpha: 0.0091
Train Ep: 003/300 | Reward:   16.0 | MSE: 0.1797 | C_Loss: 0.025 | A_Loss: -0.002 | Alpha: 0.0087
Train Ep: 004/300 | Reward:  -54.0 | MSE: 0.1961 | C_Loss: 0.012 | A_Loss: -0.002 | Alpha: 0.0083
Train Ep: 005/300 | Reward:  -39.0 | MSE: 0.2235 | C_Loss: 0.017 | A_Loss: -0.003 | Alpha: 0.0079
Train Ep: 006/300 | Reward:  -99.0 | MSE: 0.2411 | C_Loss: 0.019 | A_Loss: -0.003 | Alpha: 0.0075
Train Ep: 007/300 | Reward:  -67.0 | MSE: 0.1051 | C_Loss: 0.019 | A_Loss: -0.002 | Alpha: 0.0072
Train Ep: 008/300 | Reward:  -66.0 | MSE: 0.1808 | C_Loss: 0.018 | A_Loss: -0.002 | Alpha: 0.0069
Train Ep: 009/300 | Reward: -105.0 | MSE: 0.1338 | C_Loss: 0.019 | A_Loss: -0.001 | Alpha: 0.0066
Train Ep: 010/300 | Reward: -128.0 | MSE: 0.2578 | C_Loss: 0.024 | A_Loss: -0.001 | Alpha: 0.0063
Train Ep: 011/300 | Reward: -103.0 | MSE: 0.3244 | C_Loss: 0.026 | A_Loss: -0.000 | Alpha: 0.0060
Train Ep: 012/300 | Reward: -160.0 | MSE: 0.2190 | C_Loss: 0.028 | A_Loss: -0.001 | Alpha: 0.0057
Train Ep: 013/300 | Reward: -152.0 | MSE: 0.2320 | C_Loss: 0.029 | A_Loss: 0.000 | Alpha: 0.0055
Train Ep: 014/300 | Reward: -109.0 | MSE: 0.1291 | C_Loss: 0.027 | A_Loss: 0.001 | Alpha: 0.0052
Train Ep: 015/300 | Reward: -128.0 | MSE: 0.2533 | C_Loss: 0.026 | A_Loss: 0.000 | Alpha: 0.0050
Train Ep: 016/300 | Reward:  -54.0 | MSE: 0.2333 | C_Loss: 0.026 | A_Loss: -0.001 | Alpha: 0.0048
Train Ep: 017/300 | Reward: -102.0 | MSE: 0.2629 | C_Loss: 0.022 | A_Loss: -0.001 | Alpha: 0.0046
Train Ep: 018/300 | Reward: -109.0 | MSE: 0.2298 | C_Loss: 0.022 | A_Loss: -0.001 | Alpha: 0.0044
Train Ep: 019/300 | Reward:  -81.0 | MSE: 0.1643 | C_Loss: 0.021 | A_Loss: -0.001 | Alpha: 0.0042
Train Ep: 020/300 | Reward:  -88.0 | MSE: 0.1605 | C_Loss: 0.022 | A_Loss: -0.001 | Alpha: 0.0040
Train Ep: 021/300 | Reward: -156.0 | MSE: 0.1809 | C_Loss: 0.026 | A_Loss: -0.000 | Alpha: 0.0038
Train Ep: 022/300 | Reward: -165.0 | MSE: 0.1847 | C_Loss: 0.030 | A_Loss: 0.001 | Alpha: 0.0036
Train Ep: 023/300 | Reward: -122.0 | MSE: 0.2536 | C_Loss: 0.032 | A_Loss: 0.001 | Alpha: 0.0035
Train Ep: 024/300 | Reward:  -70.0 | MSE: 0.1351 | C_Loss: 0.028 | A_Loss: 0.001 | Alpha: 0.0033
Train Ep: 025/300 | Reward:  -60.0 | MSE: 0.3107 | C_Loss: 0.022 | A_Loss: 0.000 | Alpha: 0.0032
Train Ep: 026/300 | Reward:  -56.0 | MSE: 0.1901 | C_Loss: 0.019 | A_Loss: -0.000 | Alpha: 0.0030
Train Ep: 027/300 | Reward:  -48.0 | MSE: 0.1812 | C_Loss: 0.019 | A_Loss: 0.000 | Alpha: 0.0029
Train Ep: 028/300 | Reward:  -85.0 | MSE: 0.1998 | C_Loss: 0.023 | A_Loss: -0.001 | Alpha: 0.0028
Train Ep: 029/300 | Reward:  -84.0 | MSE: 0.1862 | C_Loss: 0.023 | A_Loss: -0.000 | Alpha: 0.0026
Train Ep: 030/300 | Reward:  -58.0 | MSE: 0.1436 | C_Loss: 0.022 | A_Loss: -0.000 | Alpha: 0.0025
Train Ep: 031/300 | Reward:  -30.0 | MSE: 0.1759 | C_Loss: 0.022 | A_Loss: -0.000 | Alpha: 0.0024
Train Ep: 032/300 | Reward:  -37.0 | MSE: 0.2191 | C_Loss: 0.020 | A_Loss: -0.000 | Alpha: 0.0023
Train Ep: 033/300 | Reward:   -6.0 | MSE: 0.1720 | C_Loss: 0.017 | A_Loss: 0.000 | Alpha: 0.0022
Train Ep: 034/300 | Reward:  -34.0 | MSE: 0.2444 | C_Loss: 0.014 | A_Loss: -0.000 | Alpha: 0.0021
Train Ep: 035/300 | Reward:   -1.0 | MSE: 0.1603 | C_Loss: 0.011 | A_Loss: -0.000 | Alpha: 0.0020
Train Ep: 036/300 | Reward:  -10.0 | MSE: 0.1400 | C_Loss: 0.010 | A_Loss: -0.001 | Alpha: 0.0019
Train Ep: 037/300 | Reward:  -59.0 | MSE: 0.2310 | C_Loss: 0.014 | A_Loss: -0.001 | Alpha: 0.0018
Train Ep: 038/300 | Reward:  -34.0 | MSE: 0.2461 | C_Loss: 0.018 | A_Loss: 0.000 | Alpha: 0.0018
Train Ep: 039/300 | Reward: -156.0 | MSE: 0.1404 | C_Loss: 0.017 | A_Loss: 0.001 | Alpha: 0.0017
Train Ep: 040/300 | Reward:  -52.0 | MSE: 0.1228 | C_Loss: 0.018 | A_Loss: 0.002 | Alpha: 0.0016
Train Ep: 041/300 | Reward:   -8.0 | MSE: 0.1681 | C_Loss: 0.013 | A_Loss: 0.001 | Alpha: 0.0015
Train Ep: 042/300 | Reward:   16.0 | MSE: 0.2426 | C_Loss: 0.007 | A_Loss: -0.000 | Alpha: 0.0015
Train Ep: 043/300 | Reward:    6.0 | MSE: 0.2432 | C_Loss: 0.006 | A_Loss: -0.000 | Alpha: 0.0014
Train Ep: 044/300 | Reward:   -6.0 | MSE: 0.1388 | C_Loss: 0.008 | A_Loss: -0.001 | Alpha: 0.0013
Train Ep: 045/300 | Reward:   -7.0 | MSE: 0.2172 | C_Loss: 0.009 | A_Loss: -0.000 | Alpha: 0.0013
Train Ep: 046/300 | Reward:   16.0 | MSE: 0.2508 | C_Loss: 0.011 | A_Loss: -0.000 | Alpha: 0.0012
Train Ep: 047/300 | Reward:  -37.0 | MSE: 0.1717 | C_Loss: 0.015 | A_Loss: -0.000 | Alpha: 0.0012
Train Ep: 048/300 | Reward:  -73.0 | MSE: 0.1717 | C_Loss: 0.013 | A_Loss: 0.000 | Alpha: 0.0011
Train Ep: 049/300 | Reward:  -35.0 | MSE: 0.1685 | C_Loss: 0.014 | A_Loss: 0.001 | Alpha: 0.0011
Train Ep: 050/300 | Reward: -111.0 | MSE: 0.1939 | C_Loss: 0.016 | A_Loss: 0.001 | Alpha: 0.0010
Train Ep: 051/300 | Reward:  -10.0 | MSE: 0.3076 | C_Loss: 0.018 | A_Loss: 0.002 | Alpha: 0.0010
Train Ep: 052/300 | Reward:  -88.0 | MSE: 0.2754 | C_Loss: 0.020 | A_Loss: 0.001 | Alpha: 0.0009
Train Ep: 053/300 | Reward:  -69.0 | MSE: 0.1068 | C_Loss: 0.020 | A_Loss: 0.001 | Alpha: 0.0009
Train Ep: 054/300 | Reward:   18.0 | MSE: 0.2034 | C_Loss: 0.017 | A_Loss: 0.002 | Alpha: 0.0009
Train Ep: 055/300 | Reward:   16.0 | MSE: 0.1885 | C_Loss: 0.011 | A_Loss: -0.000 | Alpha: 0.0008
Train Ep: 056/300 | Reward:   11.0 | MSE: 0.1866 | C_Loss: 0.007 | A_Loss: -0.000 | Alpha: 0.0008
Train Ep: 057/300 | Reward:    8.0 | MSE: 0.1213 | C_Loss: 0.006 | A_Loss: -0.001 | Alpha: 0.0007
Train Ep: 058/300 | Reward:   33.0 | MSE: 0.1780 | C_Loss: 0.007 | A_Loss: -0.000 | Alpha: 0.0007
Train Ep: 059/300 | Reward:   -4.0 | MSE: 0.2305 | C_Loss: 0.007 | A_Loss: -0.000 | Alpha: 0.0007
Train Ep: 060/300 | Reward:   -3.0 | MSE: 0.1556 | C_Loss: 0.008 | A_Loss: -0.000 | Alpha: 0.0007
Train Ep: 061/300 | Reward:    6.0 | MSE: 0.2291 | C_Loss: 0.009 | A_Loss: -0.000 | Alpha: 0.0006
Train Ep: 062/300 | Reward:  -16.0 | MSE: 0.1898 | C_Loss: 0.009 | A_Loss: -0.000 | Alpha: 0.0006
Train Ep: 063/300 | Reward:  -18.0 | MSE: 0.3011 | C_Loss: 0.010 | A_Loss: -0.000 | Alpha: 0.0006
Train Ep: 064/300 | Reward: -110.0 | MSE: 0.2290 | C_Loss: 0.018 | A_Loss: 0.001 | Alpha: 0.0005
Train Ep: 065/300 | Reward:  -20.0 | MSE: 0.2095 | C_Loss: 0.018 | A_Loss: 0.000 | Alpha: 0.0005
Train Ep: 066/300 | Reward:   11.0 | MSE: 0.1742 | C_Loss: 0.012 | A_Loss: 0.000 | Alpha: 0.0005
Train Ep: 067/300 | Reward:   17.0 | MSE: 0.3287 | C_Loss: 0.005 | A_Loss: -0.000 | Alpha: 0.0005
Train Ep: 068/300 | Reward:   14.0 | MSE: 0.1492 | C_Loss: 0.004 | A_Loss: -0.000 | Alpha: 0.0005
Train Ep: 069/300 | Reward:    5.0 | MSE: 0.2184 | C_Loss: 0.004 | A_Loss: -0.000 | Alpha: 0.0004
Train Ep: 070/300 | Reward:    0.0 | MSE: 0.2317 | C_Loss: 0.003 | A_Loss: -0.000 | Alpha: 0.0004
Train Ep: 071/300 | Reward:   24.0 | MSE: 0.2291 | C_Loss: 0.004 | A_Loss: -0.000 | Alpha: 0.0004
Train Ep: 072/300 | Reward:   25.0 | MSE: 0.2115 | C_Loss: 0.005 | A_Loss: -0.000 | Alpha: 0.0004
Train Ep: 073/300 | Reward:   -5.0 | MSE: 0.1363 | C_Loss: 0.006 | A_Loss: 0.000 | Alpha: 0.0004
Train Ep: 074/300 | Reward:   12.0 | MSE: 0.2787 | C_Loss: 0.005 | A_Loss: 0.000 | Alpha: 0.0003
Train Ep: 075/300 | Reward:  -18.0 | MSE: 0.2623 | C_Loss: 0.005 | A_Loss: 0.000 | Alpha: 0.0003
Train Ep: 076/300 | Reward:    0.0 | MSE: 0.2783 | C_Loss: 0.005 | A_Loss: 0.000 | Alpha: 0.0003
Train Ep: 077/300 | Reward:  -20.0 | MSE: 0.1702 | C_Loss: 0.006 | A_Loss: 0.001 | Alpha: 0.0003
Train Ep: 078/300 | Reward:    0.0 | MSE: 0.2875 | C_Loss: 0.004 | A_Loss: 0.000 | Alpha: 0.0003
Train Ep: 079/300 | Reward:   13.0 | MSE: 0.1877 | C_Loss: 0.005 | A_Loss: 0.000 | Alpha: 0.0003
Train Ep: 080/300 | Reward:    4.0 | MSE: 0.1904 | C_Loss: 0.006 | A_Loss: 0.000 | Alpha: 0.0003
Train Ep: 081/300 | Reward:    6.0 | MSE: 0.1726 | C_Loss: 0.006 | A_Loss: 0.000 | Alpha: 0.0003
Train Ep: 082/300 | Reward:    9.0 | MSE: 0.2336 | C_Loss: 0.006 | A_Loss: -0.000 | Alpha: 0.0002
Train Ep: 083/300 | Reward:    6.0 | MSE: 0.2633 | C_Loss: 0.005 | A_Loss: -0.000 | Alpha: 0.0002
Train Ep: 084/300 | Reward:   -4.0 | MSE: 0.1965 | C_Loss: 0.005 | A_Loss: 0.000 | Alpha: 0.0002
Train Ep: 085/300 | Reward:   18.0 | MSE: 0.2188 | C_Loss: 0.005 | A_Loss: -0.000 | Alpha: 0.0002
Train Ep: 086/300 | Reward:  -43.0 | MSE: 0.1316 | C_Loss: 0.004 | A_Loss: -0.000 | Alpha: 0.0002
Train Ep: 087/300 | Reward:   13.0 | MSE: 0.2485 | C_Loss: 0.007 | A_Loss: 0.000 | Alpha: 0.0002
Train Ep: 088/300 | Reward:   -1.0 | MSE: 0.2635 | C_Loss: 0.005 | A_Loss: -0.000 | Alpha: 0.0002
Train Ep: 089/300 | Reward:    8.0 | MSE: 0.1851 | C_Loss: 0.003 | A_Loss: 0.000 | Alpha: 0.0002
Train Ep: 090/300 | Reward:   34.0 | MSE: 0.2006 | C_Loss: 0.003 | A_Loss: -0.000 | Alpha: 0.0002
Train Ep: 091/300 | Reward:  -18.0 | MSE: 0.1743 | C_Loss: 0.005 | A_Loss: -0.000 | Alpha: 0.0002
Train Ep: 092/300 | Reward:    0.0 | MSE: 0.1654 | C_Loss: 0.007 | A_Loss: 0.000 | Alpha: 0.0002
Train Ep: 093/300 | Reward:   14.0 | MSE: 0.2243 | C_Loss: 0.007 | A_Loss: 0.000 | Alpha: 0.0001
Train Ep: 094/300 | Reward:   -2.0 | MSE: 0.3358 | C_Loss: 0.005 | A_Loss: 0.000 | Alpha: 0.0001
Train Ep: 095/300 | Reward:   18.0 | MSE: 0.1660 | C_Loss: 0.005 | A_Loss: -0.000 | Alpha: 0.0001
Train Ep: 096/300 | Reward:   -7.0 | MSE: 0.2545 | C_Loss: 0.004 | A_Loss: -0.000 | Alpha: 0.0001
Train Ep: 097/300 | Reward:    0.0 | MSE: 0.1340 | C_Loss: 0.003 | A_Loss: 0.000 | Alpha: 0.0001
Train Ep: 098/300 | Reward:    4.0 | MSE: 0.3596 | C_Loss: 0.003 | A_Loss: 0.000 | Alpha: 0.0001
Train Ep: 099/300 | Reward:    6.0 | MSE: 0.2865 | C_Loss: 0.004 | A_Loss: 0.000 | Alpha: 0.0001
Train Ep: 100/300 | Reward:    2.0 | MSE: 0.2304 | C_Loss: 0.001 | A_Loss: -0.000 | Alpha: 0.0001
Train Ep: 101/300 | Reward:   -1.0 | MSE: 0.3153 | C_Loss: 0.001 | A_Loss: -0.000 | Alpha: 0.0001
Train Ep: 102/300 | Reward:    2.0 | MSE: 0.1481 | C_Loss: 0.001 | A_Loss: 0.000 | Alpha: 0.0001
Train Ep: 103/300 | Reward:   -3.0 | MSE: 0.2114 | C_Loss: 0.000 | A_Loss: 0.000 | Alpha: 0.0001
Train Ep: 104/300 | Reward:    1.0 | MSE: 0.2548 | C_Loss: 0.001 | A_Loss: 0.000 | Alpha: 0.0001
Train Ep: 105/300 | Reward:   23.0 | MSE: 0.2171 | C_Loss: 0.001 | A_Loss: 0.000 | Alpha: 0.0001
Train Ep: 106/300 | Reward:   28.0 | MSE: 0.2103 | C_Loss: 0.002 | A_Loss: -0.000 | Alpha: 0.0001
Train Ep: 107/300 | Reward:   12.0 | MSE: 0.1761 | C_Loss: 0.005 | A_Loss: -0.001 | Alpha: 0.0001
Train Ep: 108/300 | Reward:   -1.0 | MSE: 0.2052 | C_Loss: 0.005 | A_Loss: -0.000 | Alpha: 0.0001
Train Ep: 109/300 | Reward:   10.0 | MSE: 0.2315 | C_Loss: 0.003 | A_Loss: -0.000 | Alpha: 0.0001
