Job started at: Sun May  3 11:16:59 CEST 2026
Starting Run 61: Burn-in | Gamma=0.0 | Layers=1 | M=30.0 | action_scale=5 | Using P.C. | lr=1e-4 | bs=128 | te=-0.5
SLURM Mode Received: 0
Execution Pipeline: ['train']
Loaded Configuration: {'mode': 0, 'model_path': 'models/sac_gnn_61.pth', 'training_metrics_filename': 'training_metrics_61.png', 'distance': 5, 'n_rounds': 5, 'p': 0.004, 'p_gate_zz': 0.0, 'mismatch': 30.0, 'n_shots': 65000, 'n_test_shots': 10000, 'burn_in_steps': 15000, 'bypass_threshold': 2, 'action_scale': 5.0, 'update_period': 1000, 'prior_shots': 1000, 'local_action_only': True, 'local_action_hops': 1, 'n_layers': 1, 'use_pearson_correlation': True, 'use_log_joint_prob': False, 'hidden_dim': 256, 'lr': 0.0001, 'gamma': 0.0, 'tau': 0.005, 'alpha': 0.01, 'target_entropy': -0.5, 'batch_size': 128, 'buffer_capacity': 100000, 'update_frequency': 100, 'train_episodes': 280, 'test_episodes': 20}

Initializing environment...

############################################################
### RUNNING MODE: TRAIN
############################################################

========================================
STARTING TRAINING (Episodes: 280)
========================================
Train Ep: 001/280 | Reward: -935.0 | MSE: 0.2090 | C_Loss: 0.099 | A_Loss: 0.018 | Alpha: 0.0095
Train Ep: 002/280 | Reward: -454.0 | MSE: 0.1236 | C_Loss: 0.074 | A_Loss: 0.008 | Alpha: 0.0091
Train Ep: 003/280 | Reward: -374.0 | MSE: 0.2063 | C_Loss: 0.070 | A_Loss: 0.005 | Alpha: 0.0087
Train Ep: 004/280 | Reward:  -87.0 | MSE: 0.2345 | C_Loss: 0.058 | A_Loss: 0.002 | Alpha: 0.0083
Train Ep: 005/280 | Reward:  -21.0 | MSE: 0.1493 | C_Loss: 0.033 | A_Loss: -0.002 | Alpha: 0.0079
Train Ep: 006/280 | Reward:  -96.0 | MSE: 0.1428 | C_Loss: 0.018 | A_Loss: -0.002 | Alpha: 0.0076
Train Ep: 007/280 | Reward:  -63.0 | MSE: 0.2653 | C_Loss: 0.016 | A_Loss: -0.002 | Alpha: 0.0072
Train Ep: 008/280 | Reward:  -57.0 | MSE: 0.1787 | C_Loss: 0.017 | A_Loss: -0.002 | Alpha: 0.0069
Train Ep: 009/280 | Reward:  -84.0 | MSE: 0.1753 | C_Loss: 0.018 | A_Loss: -0.002 | Alpha: 0.0066
Train Ep: 010/280 | Reward: -129.0 | MSE: 0.1459 | C_Loss: 0.021 | A_Loss: -0.002 | Alpha: 0.0063
Train Ep: 011/280 | Reward: -234.0 | MSE: 0.2376 | C_Loss: 0.026 | A_Loss: -0.000 | Alpha: 0.0060
Train Ep: 012/280 | Reward: -108.0 | MSE: 0.2090 | C_Loss: 0.028 | A_Loss: 0.001 | Alpha: 0.0057
Train Ep: 013/280 | Reward: -127.0 | MSE: 0.1485 | C_Loss: 0.026 | A_Loss: -0.000 | Alpha: 0.0055
Train Ep: 014/280 | Reward: -105.0 | MSE: 0.1167 | C_Loss: 0.027 | A_Loss: -0.001 | Alpha: 0.0052
Train Ep: 015/280 | Reward: -122.0 | MSE: 0.2652 | C_Loss: 0.025 | A_Loss: -0.001 | Alpha: 0.0050
Train Ep: 016/280 | Reward: -144.0 | MSE: 0.2296 | C_Loss: 0.022 | A_Loss: -0.000 | Alpha: 0.0048
Train Ep: 017/280 | Reward:  -75.0 | MSE: 0.1347 | C_Loss: 0.024 | A_Loss: -0.001 | Alpha: 0.0046
Train Ep: 018/280 | Reward:  -73.0 | MSE: 0.1751 | C_Loss: 0.021 | A_Loss: -0.001 | Alpha: 0.0044
Train Ep: 019/280 | Reward:  -65.0 | MSE: 0.2589 | C_Loss: 0.017 | A_Loss: -0.000 | Alpha: 0.0042
Train Ep: 020/280 | Reward: -114.0 | MSE: 0.1723 | C_Loss: 0.016 | A_Loss: -0.001 | Alpha: 0.0040
Train Ep: 021/280 | Reward:  -34.0 | MSE: 0.1672 | C_Loss: 0.021 | A_Loss: -0.000 | Alpha: 0.0038
Train Ep: 022/280 | Reward:  -35.0 | MSE: 0.2257 | C_Loss: 0.017 | A_Loss: -0.001 | Alpha: 0.0037
Train Ep: 023/280 | Reward:   -9.0 | MSE: 0.2778 | C_Loss: 0.015 | A_Loss: -0.002 | Alpha: 0.0035
Train Ep: 024/280 | Reward:  -55.0 | MSE: 0.1685 | C_Loss: 0.017 | A_Loss: -0.002 | Alpha: 0.0033
Train Ep: 025/280 | Reward: -127.0 | MSE: 0.1790 | C_Loss: 0.023 | A_Loss: -0.001 | Alpha: 0.0032
Train Ep: 026/280 | Reward:  -57.0 | MSE: 0.2440 | C_Loss: 0.021 | A_Loss: -0.001 | Alpha: 0.0030
Train Ep: 027/280 | Reward:  -67.0 | MSE: 0.1673 | C_Loss: 0.019 | A_Loss: -0.000 | Alpha: 0.0029
Train Ep: 028/280 | Reward:  -42.0 | MSE: 0.1283 | C_Loss: 0.019 | A_Loss: -0.000 | Alpha: 0.0028
Train Ep: 029/280 | Reward:  -35.0 | MSE: 0.1663 | C_Loss: 0.015 | A_Loss: -0.001 | Alpha: 0.0027
Train Ep: 030/280 | Reward:  -72.0 | MSE: 0.1732 | C_Loss: 0.016 | A_Loss: -0.000 | Alpha: 0.0025
Train Ep: 031/280 | Reward: -111.0 | MSE: 0.1990 | C_Loss: 0.023 | A_Loss: -0.000 | Alpha: 0.0024
Train Ep: 032/280 | Reward:  -77.0 | MSE: 0.1743 | C_Loss: 0.023 | A_Loss: 0.000 | Alpha: 0.0023
Train Ep: 033/280 | Reward:  -97.0 | MSE: 0.1604 | C_Loss: 0.021 | A_Loss: 0.000 | Alpha: 0.0022
Train Ep: 034/280 | Reward:    0.0 | MSE: 0.1651 | C_Loss: 0.020 | A_Loss: 0.000 | Alpha: 0.0021
Train Ep: 035/280 | Reward:  -13.0 | MSE: 0.2521 | C_Loss: 0.016 | A_Loss: -0.001 | Alpha: 0.0020
Train Ep: 036/280 | Reward:   -9.0 | MSE: 0.1956 | C_Loss: 0.009 | A_Loss: -0.001 | Alpha: 0.0020
Train Ep: 037/280 | Reward:   -2.0 | MSE: 0.1770 | C_Loss: 0.010 | A_Loss: -0.000 | Alpha: 0.0019
Train Ep: 038/280 | Reward:  -28.0 | MSE: 0.2510 | C_Loss: 0.008 | A_Loss: -0.001 | Alpha: 0.0018
Train Ep: 039/280 | Reward:  -29.0 | MSE: 0.1741 | C_Loss: 0.010 | A_Loss: -0.001 | Alpha: 0.0017
Train Ep: 040/280 | Reward:  -32.0 | MSE: 0.1855 | C_Loss: 0.014 | A_Loss: -0.000 | Alpha: 0.0016
Train Ep: 041/280 | Reward:  -61.0 | MSE: 0.1455 | C_Loss: 0.016 | A_Loss: -0.000 | Alpha: 0.0016
Train Ep: 042/280 | Reward:  -21.0 | MSE: 0.0978 | C_Loss: 0.017 | A_Loss: 0.000 | Alpha: 0.0015
