Job started at: Sun May  3 23:10:10 CEST 2026
Starting Run 62: Burn-in | Gamma=0.0 | Layers=1 | M=30.0 | action_scale=5 | Using P.C. | lr=1e-5 | bs=128 | te=-1
SLURM Mode Received: 0
Execution Pipeline: ['train']
Loaded Configuration: {'mode': 0, 'model_path': 'models/sac_gnn_60.pth', 'training_metrics_filename': 'training_metrics_62.png', 'distance': 5, 'n_rounds': 5, 'p': 0.004, 'p_gate_zz': 0.0, 'mismatch': 30.0, 'n_shots': 65000, 'n_test_shots': 10000, 'burn_in_steps': 15000, 'bypass_threshold': 2, 'action_scale': 5.0, 'update_period': 1000, 'prior_shots': 1000, 'local_action_only': True, 'local_action_hops': 1, 'n_layers': 1, 'use_pearson_correlation': True, 'use_log_joint_prob': False, 'hidden_dim': 256, 'lr': 1e-05, 'gamma': 0.0, 'tau': 0.005, 'alpha': 0.01, 'target_entropy': -1.0, 'batch_size': 128, 'buffer_capacity': 100000, 'update_frequency': 100, 'train_episodes': 280, 'test_episodes': 20}

Initializing environment...

############################################################
### RUNNING MODE: TRAIN
############################################################

========================================
STARTING TRAINING (Episodes: 280)
========================================
Train Ep: 001/280 | Reward: -1750.0 | MSE: 0.2500 | C_Loss: 0.136 | A_Loss: 0.024 | Alpha: 0.0100
Train Ep: 002/280 | Reward: -1616.0 | MSE: 0.1392 | C_Loss: 0.126 | A_Loss: 0.028 | Alpha: 0.0099
Train Ep: 003/280 | Reward: -1213.0 | MSE: 0.1343 | C_Loss: 0.113 | A_Loss: 0.024 | Alpha: 0.0099
Train Ep: 004/280 | Reward: -951.0 | MSE: 0.1508 | C_Loss: 0.096 | A_Loss: 0.019 | Alpha: 0.0098
Train Ep: 005/280 | Reward: -1037.0 | MSE: 0.1723 | C_Loss: 0.086 | A_Loss: 0.016 | Alpha: 0.0098
Train Ep: 006/280 | Reward: -834.0 | MSE: 0.1537 | C_Loss: 0.077 | A_Loss: 0.014 | Alpha: 0.0097
Train Ep: 007/280 | Reward: -1019.0 | MSE: 0.1751 | C_Loss: 0.077 | A_Loss: 0.014 | Alpha: 0.0097
Train Ep: 008/280 | Reward: -350.0 | MSE: 0.0757 | C_Loss: 0.073 | A_Loss: 0.012 | Alpha: 0.0096
Train Ep: 009/280 | Reward: -484.0 | MSE: 0.2325 | C_Loss: 0.061 | A_Loss: 0.007 | Alpha: 0.0096
Train Ep: 010/280 | Reward: -200.0 | MSE: 0.1565 | C_Loss: 0.044 | A_Loss: 0.004 | Alpha: 0.0095
Train Ep: 011/280 | Reward: -279.0 | MSE: 0.1423 | C_Loss: 0.042 | A_Loss: 0.002 | Alpha: 0.0095
Train Ep: 012/280 | Reward: -132.0 | MSE: 0.2090 | C_Loss: 0.040 | A_Loss: 0.000 | Alpha: 0.0094
Train Ep: 013/280 | Reward: -133.0 | MSE: 0.1222 | C_Loss: 0.033 | A_Loss: -0.002 | Alpha: 0.0094
Train Ep: 014/280 | Reward: -119.0 | MSE: 0.1205 | C_Loss: 0.031 | A_Loss: -0.001 | Alpha: 0.0093
