Job started at: Tue May  5 15:49:23 CEST 2026
Starting Run 63: Burn-in | Gamma=0.0 | Layers=1 | M=30.0 | action_scale=5 | Using P.C. | lr=5e-5 | bs=128 | te=-1
SLURM Mode Received: 0
Execution Pipeline: ['train']
Loaded Configuration: {'mode': 0, 'model_path': 'models/sac_gnn_63.pth', 'training_metrics_filename': 'training_metrics_63.png', 'distance': 5, 'n_rounds': 5, 'p': 0.004, 'p_gate_zz': 0.0, 'mismatch': 30.0, 'n_shots': 65000, 'n_test_shots': 10000, 'burn_in_steps': 15000, 'bypass_threshold': 2, 'action_scale': 5.0, 'update_period': 1000, 'prior_shots': 1000, 'local_action_only': True, 'local_action_hops': 1, 'n_layers': 1, 'use_pearson_correlation': True, 'use_log_joint_prob': False, 'hidden_dim': 256, 'lr': 5e-05, 'gamma': 0.0, 'tau': 0.005, 'alpha': 0.01, 'target_entropy': -1.0, 'batch_size': 128, 'buffer_capacity': 100000, 'update_frequency': 100, 'train_episodes': 500, 'test_episodes': 20}

Initializing environment...

############################################################
### RUNNING MODE: TRAIN
############################################################

========================================
STARTING TRAINING (Episodes: 500)
========================================
Train Ep: 001/500 | Reward: -1012.0 | MSE: 0.2468 | C_Loss: 0.046 | A_Loss: 0.020 | Alpha: 0.0098
Train Ep: 002/500 | Reward: -585.0 | MSE: 0.2777 | C_Loss: 0.037 | A_Loss: 0.010 | Alpha: 0.0095
Train Ep: 003/500 | Reward: -195.0 | MSE: 0.1845 | C_Loss: 0.030 | A_Loss: 0.006 | Alpha: 0.0093
Train Ep: 004/500 | Reward: -132.0 | MSE: 0.1993 | C_Loss: 0.022 | A_Loss: 0.001 | Alpha: 0.0091
Train Ep: 005/500 | Reward:  -84.0 | MSE: 0.3478 | C_Loss: 0.014 | A_Loss: -0.003 | Alpha: 0.0089
Train Ep: 006/500 | Reward:  -69.0 | MSE: 0.2195 | C_Loss: 0.011 | A_Loss: -0.004 | Alpha: 0.0086
Train Ep: 007/500 | Reward: -146.0 | MSE: 0.2016 | C_Loss: 0.011 | A_Loss: -0.002 | Alpha: 0.0084
Train Ep: 008/500 | Reward: -110.0 | MSE: 0.2449 | C_Loss: 0.014 | A_Loss: -0.003 | Alpha: 0.0082
Train Ep: 009/500 | Reward:  -96.0 | MSE: 0.2704 | C_Loss: 0.013 | A_Loss: -0.002 | Alpha: 0.0080
Train Ep: 010/500 | Reward:  -54.0 | MSE: 0.2945 | C_Loss: 0.011 | A_Loss: -0.002 | Alpha: 0.0079
Train Ep: 011/500 | Reward: -135.0 | MSE: 0.1548 | C_Loss: 0.009 | A_Loss: -0.003 | Alpha: 0.0077
