Job started at: Tue May  5 15:49:23 CEST 2026
Starting Run 64: Burn-in | Gamma=0.0 | Layers=1 | M=30.0 | action_scale=5 | Using P.C. | lr=1e-4 | bs=128 | te=-1
SLURM Mode Received: 0
Execution Pipeline: ['train']
Loaded Configuration: {'mode': 0, 'model_path': 'models/sac_gnn_64.pth', 'training_metrics_filename': 'training_metrics_64.png', 'distance': 5, 'n_rounds': 5, 'p': 0.004, 'p_gate_zz': 0.0, 'mismatch': 30.0, 'n_shots': 65000, 'n_test_shots': 10000, 'burn_in_steps': 15000, 'bypass_threshold': 2, 'action_scale': 5.0, 'update_period': 1000, 'prior_shots': 1000, 'local_action_only': True, 'local_action_hops': 1, 'n_layers': 1, 'use_pearson_correlation': True, 'use_log_joint_prob': False, 'hidden_dim': 256, 'lr': 0.0001, 'gamma': 0.0, 'tau': 0.005, 'alpha': 0.01, 'target_entropy': -1.0, 'batch_size': 128, 'buffer_capacity': 100000, 'update_frequency': 100, 'train_episodes': 500, 'test_episodes': 20}

Initializing environment...

############################################################
### RUNNING MODE: TRAIN
############################################################

========================================
STARTING TRAINING (Episodes: 500)
========================================
Train Ep: 001/500 | Reward: -1104.0 | MSE: 0.2051 | C_Loss: 0.064 | A_Loss: 0.025 | Alpha: 0.0095
Train Ep: 002/500 | Reward:  -20.0 | MSE: 0.2217 | C_Loss: 0.037 | A_Loss: 0.006 | Alpha: 0.0092
Train Ep: 003/500 | Reward:    3.0 | MSE: 0.2496 | C_Loss: 0.012 | A_Loss: -0.002 | Alpha: 0.0088
Train Ep: 004/500 | Reward:  -47.0 | MSE: 0.1462 | C_Loss: 0.003 | A_Loss: -0.003 | Alpha: 0.0083
Train Ep: 005/500 | Reward:  -54.0 | MSE: 0.1787 | C_Loss: 0.008 | A_Loss: -0.003 | Alpha: 0.0079
Train Ep: 006/500 | Reward:  -45.0 | MSE: 0.2863 | C_Loss: 0.010 | A_Loss: -0.003 | Alpha: 0.0076
Train Ep: 007/500 | Reward:  -13.0 | MSE: 0.2678 | C_Loss: 0.009 | A_Loss: -0.003 | Alpha: 0.0072
Train Ep: 008/500 | Reward: -115.0 | MSE: 0.1909 | C_Loss: 0.008 | A_Loss: -0.002 | Alpha: 0.0069
Train Ep: 009/500 | Reward:  -77.0 | MSE: 0.1984 | C_Loss: 0.009 | A_Loss: -0.002 | Alpha: 0.0066
Train Ep: 010/500 | Reward:  -54.0 | MSE: 0.2323 | C_Loss: 0.010 | A_Loss: -0.002 | Alpha: 0.0063
Train Ep: 011/500 | Reward:  -73.0 | MSE: 0.1739 | C_Loss: 0.011 | A_Loss: -0.002 | Alpha: 0.0060
Train Ep: 012/500 | Reward:  -80.0 | MSE: 0.2227 | C_Loss: 0.012 | A_Loss: -0.002 | Alpha: 0.0057
Train Ep: 013/500 | Reward:  -57.0 | MSE: 0.2431 | C_Loss: 0.013 | A_Loss: -0.002 | Alpha: 0.0055
Train Ep: 014/500 | Reward: -199.0 | MSE: 0.1664 | C_Loss: 0.012 | A_Loss: -0.001 | Alpha: 0.0052
Train Ep: 015/500 | Reward: -133.0 | MSE: 0.2039 | C_Loss: 0.013 | A_Loss: -0.001 | Alpha: 0.0050
Train Ep: 016/500 | Reward: -109.0 | MSE: 0.1958 | C_Loss: 0.016 | A_Loss: -0.001 | Alpha: 0.0048
Train Ep: 017/500 | Reward: -124.0 | MSE: 0.1604 | C_Loss: 0.017 | A_Loss: -0.002 | Alpha: 0.0045
Train Ep: 018/500 | Reward: -142.0 | MSE: 0.2302 | C_Loss: 0.016 | A_Loss: 0.001 | Alpha: 0.0043
Train Ep: 019/500 | Reward: -155.0 | MSE: 0.1344 | C_Loss: 0.015 | A_Loss: 0.001 | Alpha: 0.0042
Train Ep: 020/500 | Reward:  -72.0 | MSE: 0.1605 | C_Loss: 0.013 | A_Loss: 0.001 | Alpha: 0.0040
Train Ep: 021/500 | Reward:  -66.0 | MSE: 0.2440 | C_Loss: 0.009 | A_Loss: -0.001 | Alpha: 0.0038
Train Ep: 022/500 | Reward:  -16.0 | MSE: 0.2029 | C_Loss: 0.008 | A_Loss: -0.000 | Alpha: 0.0036
Train Ep: 023/500 | Reward:   -5.0 | MSE: 0.2530 | C_Loss: 0.007 | A_Loss: -0.001 | Alpha: 0.0035
Train Ep: 024/500 | Reward: -120.0 | MSE: 0.2168 | C_Loss: 0.009 | A_Loss: -0.002 | Alpha: 0.0033
Train Ep: 025/500 | Reward:  -24.0 | MSE: 0.0668 | C_Loss: 0.009 | A_Loss: -0.001 | Alpha: 0.0032
Train Ep: 026/500 | Reward:  -86.0 | MSE: 0.1311 | C_Loss: 0.010 | A_Loss: 0.000 | Alpha: 0.0030
Train Ep: 027/500 | Reward:  -79.0 | MSE: 0.2116 | C_Loss: 0.012 | A_Loss: -0.000 | Alpha: 0.0029
Train Ep: 028/500 | Reward:   -6.0 | MSE: 0.2392 | C_Loss: 0.012 | A_Loss: 0.000 | Alpha: 0.0028
Train Ep: 029/500 | Reward:  -38.0 | MSE: 0.1988 | C_Loss: 0.007 | A_Loss: -0.001 | Alpha: 0.0027
Train Ep: 030/500 | Reward:  -61.0 | MSE: 0.2249 | C_Loss: 0.006 | A_Loss: -0.001 | Alpha: 0.0025
Train Ep: 031/500 | Reward:  -81.0 | MSE: 0.2345 | C_Loss: 0.007 | A_Loss: -0.000 | Alpha: 0.0024
Train Ep: 032/500 | Reward:  -13.0 | MSE: 0.2540 | C_Loss: 0.007 | A_Loss: 0.000 | Alpha: 0.0023
Train Ep: 033/500 | Reward:   -4.0 | MSE: 0.2307 | C_Loss: 0.005 | A_Loss: -0.000 | Alpha: 0.0022
Train Ep: 034/500 | Reward:  -27.0 | MSE: 0.2740 | C_Loss: 0.004 | A_Loss: -0.000 | Alpha: 0.0021
Train Ep: 035/500 | Reward:  -38.0 | MSE: 0.1717 | C_Loss: 0.004 | A_Loss: -0.000 | Alpha: 0.0020
Train Ep: 036/500 | Reward:   25.0 | MSE: 0.1850 | C_Loss: 0.005 | A_Loss: -0.000 | Alpha: 0.0019
Train Ep: 037/500 | Reward:  -59.0 | MSE: 0.1969 | C_Loss: 0.007 | A_Loss: -0.001 | Alpha: 0.0019
Train Ep: 038/500 | Reward:   16.0 | MSE: 0.1582 | C_Loss: 0.008 | A_Loss: -0.001 | Alpha: 0.0018
Train Ep: 039/500 | Reward:    0.0 | MSE: 0.2468 | C_Loss: 0.007 | A_Loss: -0.001 | Alpha: 0.0017
Train Ep: 040/500 | Reward:   13.0 | MSE: 0.2172 | C_Loss: 0.004 | A_Loss: -0.001 | Alpha: 0.0016
Train Ep: 041/500 | Reward:   -8.0 | MSE: 0.2563 | C_Loss: 0.005 | A_Loss: -0.001 | Alpha: 0.0015
Train Ep: 042/500 | Reward:   -1.0 | MSE: 0.2580 | C_Loss: 0.006 | A_Loss: 0.000 | Alpha: 0.0015
Train Ep: 043/500 | Reward:   11.0 | MSE: 0.2395 | C_Loss: 0.006 | A_Loss: -0.000 | Alpha: 0.0014
Train Ep: 044/500 | Reward:   -9.0 | MSE: 0.2769 | C_Loss: 0.005 | A_Loss: -0.000 | Alpha: 0.0014
Train Ep: 045/500 | Reward:   -2.0 | MSE: 0.1622 | C_Loss: 0.004 | A_Loss: -0.000 | Alpha: 0.0013
Train Ep: 046/500 | Reward:   24.0 | MSE: 0.1604 | C_Loss: 0.002 | A_Loss: -0.000 | Alpha: 0.0012
Train Ep: 047/500 | Reward:   13.0 | MSE: 0.2258 | C_Loss: 0.003 | A_Loss: -0.001 | Alpha: 0.0012
Train Ep: 048/500 | Reward:   10.0 | MSE: 0.1804 | C_Loss: 0.003 | A_Loss: -0.000 | Alpha: 0.0011
Train Ep: 049/500 | Reward:  -19.0 | MSE: 0.1770 | C_Loss: 0.004 | A_Loss: 0.000 | Alpha: 0.0011
Train Ep: 050/500 | Reward:  -79.0 | MSE: 0.1751 | C_Loss: 0.006 | A_Loss: 0.000 | Alpha: 0.0010
Train Ep: 051/500 | Reward:   28.0 | MSE: 0.1791 | C_Loss: 0.007 | A_Loss: 0.000 | Alpha: 0.0010
Train Ep: 052/500 | Reward:   -2.0 | MSE: 0.2512 | C_Loss: 0.006 | A_Loss: -0.001 | Alpha: 0.0009
